timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,420.7500,423.9950,418.9100,422.3900,422.3900,435136,0.0000,1.0000
2019-03-22,429.2900,429.7800,420.3250,420.7200,420.7200,1071625,0.0000,1.0000
2019-03-21,428.6100,435.2500,428.6100,433.6300,433.6300,430982,0.0000,1.0000
2019-03-20,431.4400,433.5200,427.0700,429.2600,429.2600,417670,0.0000,1.0000
2019-03-19,432.7400,436.2700,428.8650,430.2700,430.2700,401683,0.0000,1.0000
2019-03-18,429.9800,431.9600,427.9450,431.3500,431.3500,479231,0.0000,1.0000
2019-03-15,428.6500,433.1900,428.6500,431.0300,431.0300,801278,0.0000,1.0000
2019-03-14,424.9000,429.1700,423.8950,428.8200,428.8200,760067,0.0000,1.0000
2019-03-13,424.5700,427.1650,423.6000,425.2100,425.2100,803680,0.0000,1.0000
2019-03-12,429.1500,429.5600,422.3300,422.7000,422.7000,489137,0.0000,1.0000
2019-03-11,419.6100,428.5300,417.2950,427.9900,427.9900,559093,0.0000,1.0000
2019-03-08,412.2000,417.5400,410.3500,416.9700,416.9700,719320,0.0000,1.0000
2019-03-07,422.0100,422.3200,412.8300,414.0500,414.0500,893115,0.0000,1.0000
2019-03-06,430.7600,430.7600,420.2600,422.2600,422.2600,1023452,0.0000,1.0000
2019-03-05,437.2800,438.0900,430.8700,431.4300,431.4300,547290,0.0000,1.0000
2019-03-04,438.0300,440.7100,433.0750,437.7500,437.7500,548974,0.0000,1.0000
2019-03-01,436.1500,437.8800,433.8100,436.6200,436.6200,387369,0.0000,1.0000
2019-02-28,439.0500,440.5200,431.0300,433.2000,433.2000,521483,0.0000,1.0000
2019-02-27,434.5100,441.9600,431.0300,440.3200,440.3200,750751,0.0000,1.0000
2019-02-26,435.5500,438.2200,434.1200,434.3200,434.3200,586603,0.0000,1.0000
2019-02-25,441.0000,442.7500,436.5200,437.6800,437.6800,538132,0.0000,1.0000
2019-02-22,439.2900,441.7400,437.1750,439.8800,439.8800,350279,1.1300,1.0000
2019-02-21,440.1500,440.6600,435.6400,439.7000,438.5734,557697,0.0000,1.0000
2019-02-20,437.7500,443.3000,437.3700,439.2700,438.1445,496487,0.0000,1.0000
2019-02-19,435.0000,441.0500,433.0001,437.5500,436.4289,593626,0.0000,1.0000
2019-02-15,435.4400,439.5200,434.3800,439.1800,438.0547,415758,0.0000,1.0000
2019-02-14,432.7200,436.4495,430.4550,431.7800,430.6737,476876,0.0000,1.0000
2019-02-13,437.0600,439.1000,432.9500,433.9900,432.8780,410952,0.0000,1.0000
2019-02-12,426.0000,437.9750,424.7100,437.2400,436.1197,742974,0.0000,1.0000
2019-02-11,422.9100,423.9500,419.3700,423.7100,422.6243,422462,0.0000,1.0000
2019-02-08,417.8400,421.6800,415.0100,421.0100,419.9312,510454,0.0000,1.0000
2019-02-07,418.9600,421.2500,415.3300,418.1100,417.0387,467259,0.0000,1.0000
