timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,22.9700,23.2200,22.8200,23.1500,23.1500,1715570,0.0000,1.0000
2019-05-02,22.9400,23.1100,22.0000,22.7600,22.7600,1970286,0.3700,1.0000
2019-05-01,23.1400,23.7600,22.9000,23.3100,22.9371,1851594,0.0000,1.0000
2019-04-30,22.9300,23.4700,22.7700,23.1800,22.8092,2028137,0.0000,1.0000
2019-04-29,22.5900,23.1400,22.4500,22.8900,22.5238,1210119,0.0000,1.0000
2019-04-26,22.1100,22.7200,21.6400,22.7200,22.3566,1331946,0.0000,1.0000
2019-04-25,23.0300,23.1700,22.0500,22.1700,21.8154,1388361,0.0000,1.0000
2019-04-24,23.1200,23.4900,23.0000,23.1900,22.8190,1581400,0.0000,1.0000
2019-04-23,22.2400,23.1900,22.1200,23.1300,22.7600,1550154,0.0000,1.0000
2019-04-22,22.5700,22.8500,21.9700,22.1900,21.8350,2385608,0.0000,1.0000
2019-04-18,22.6000,22.8100,22.2800,22.7100,22.3467,1311770,0.0000,1.0000
2019-04-17,23.1100,23.4200,22.4900,22.5900,22.2286,1329122,0.0000,1.0000
2019-04-16,22.5900,23.2300,22.2400,23.0000,22.6321,1754861,0.0000,1.0000
2019-04-15,23.1800,23.5800,22.3700,22.4000,22.0417,2763260,0.0000,1.0000
2019-04-12,23.9000,23.9500,23.0600,23.1900,22.8190,2964595,0.0000,1.0000
2019-04-11,25.4400,25.5100,23.8500,23.8500,23.4685,3334080,0.0000,1.0000
2019-04-10,25.5400,25.7800,24.9101,25.3600,24.9543,1707729,0.0000,1.0000
2019-04-09,25.9000,26.0600,24.9800,25.3100,24.9051,2343751,0.0000,1.0000
2019-04-08,26.8600,26.9500,25.9100,25.9600,25.5447,2812502,0.0000,1.0000
2019-04-05,28.2100,28.5600,26.7300,26.8500,26.4205,2951999,0.0000,1.0000
2019-04-04,28.0000,28.9700,27.8650,28.3000,27.8473,2677121,0.0000,1.0000
2019-04-03,28.0500,28.9000,27.1600,27.8000,27.3553,5525895,0.0000,1.0000
2019-04-02,28.0300,28.3300,27.1300,27.6500,27.2077,2104219,0.0000,1.0000
2019-04-01,27.3500,28.2100,27.0100,28.0500,27.6013,1763562,0.0000,1.0000
2019-03-29,27.8200,27.8375,26.8100,27.1600,26.7255,1254182,0.0000,1.0000
2019-03-28,27.3100,27.9400,27.1500,27.6900,27.2471,1216638,0.0000,1.0000
2019-03-27,26.2400,27.4200,26.2000,27.2400,26.8043,1157855,0.0000,1.0000
2019-03-26,26.4400,27.1900,26.1700,26.5600,26.1351,1307379,0.0000,1.0000
2019-03-25,26.3200,26.9500,25.9600,26.2200,25.8006,1195971,0.0000,1.0000
2019-03-22,26.8700,27.2000,26.2000,26.4600,26.0367,1212599,0.0000,1.0000
2019-03-21,26.3200,27.4900,26.1700,27.2900,26.8535,1115226,0.0000,1.0000
2019-03-20,27.0400,27.1900,26.1700,26.4700,26.0466,1139415,0.0000,1.0000
2019-03-19,27.2500,27.8800,26.9300,27.1300,26.6960,986195,0.0000,1.0000
2019-03-18,27.2300,27.4500,26.9200,27.0900,26.6567,1315546,0.0000,1.0000
2019-03-15,27.3000,28.3400,26.9800,27.1300,26.6960,1874496,0.0000,1.0000
2019-03-14,27.4200,27.5700,26.9200,27.2900,26.8535,907021,0.0000,1.0000
2019-03-13,26.8300,27.8000,26.6500,27.4200,26.9814,1212948,0.0000,1.0000
2019-03-12,27.3700,27.3700,26.0600,26.5900,26.1647,1478168,0.0000,1.0000
2019-03-11,26.2500,27.4300,26.2500,27.3700,26.9322,1513969,0.0000,1.0000
2019-03-08,25.6400,26.3100,25.3300,26.2000,25.7809,1154349,0.0000,1.0000
2019-03-07,25.7000,26.4000,25.1000,26.0200,25.6038,1414151,0.0000,1.0000
2019-03-06,27.8600,27.9800,25.7638,25.8500,25.4365,1873553,0.0000,1.0000
2019-03-05,27.6000,28.0500,27.3600,27.7700,27.3258,856264,0.0000,1.0000
2019-03-04,29.1000,29.3600,27.4850,27.5300,27.0896,1532074,0.0000,1.0000
2019-03-01,28.5100,29.1400,28.2600,28.8000,28.3393,1273517,0.0000,1.0000
2019-02-28,27.8800,28.6500,27.2900,28.1100,27.6603,1603293,0.0000,1.0000
2019-02-27,27.6000,28.0700,27.3600,27.9600,27.5127,1719071,0.0000,1.0000
2019-02-26,27.0100,27.7400,26.9300,27.5500,27.1093,940737,0.0000,1.0000
2019-02-25,26.9900,27.3600,26.5400,27.0500,26.6173,1547341,0.0000,1.0000
2019-02-22,25.3700,26.8400,25.0600,26.7900,26.3615,1494725,0.0000,1.0000
2019-02-21,26.1700,26.4700,25.4700,25.5000,25.0921,1477353,0.0000,1.0000
2019-02-20,25.3500,26.4000,25.3500,26.1200,25.7022,1434121,0.0000,1.0000
2019-02-19,25.9000,26.0400,25.0820,25.3100,24.9051,1435718,0.0000,1.0000
2019-02-15,25.6000,26.1900,25.5400,25.8900,25.4758,1385127,0.0000,1.0000
2019-02-14,25.1600,25.7600,24.7055,25.5100,25.1019,925857,0.0000,1.0000
