timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,178.1900,178.7700,176.6700,177.9800,177.9800,739218,0.0000,1.0000
2019-03-22,178.2500,179.9700,177.5200,177.6000,177.6000,1480092,0.0000,1.0000
2019-03-21,173.6200,178.2400,172.2200,178.1800,178.1800,1445263,0.0000,1.0000
2019-03-20,173.5500,175.2500,172.0200,173.9400,173.9400,1396168,0.0000,1.0000
2019-03-19,174.2900,174.9300,172.9000,173.4000,173.4000,1316166,0.0000,1.0000
2019-03-18,176.2400,176.5700,173.5600,174.3300,174.3300,1345924,0.0000,1.0000
2019-03-15,179.3700,180.0400,175.2400,176.0900,176.0900,2628633,0.0000,1.0000
2019-03-14,178.2600,179.9800,177.4300,179.7900,179.7900,1691661,0.0000,1.0000
2019-03-13,179.0400,179.4600,178.0500,178.1400,178.1400,1111048,0.0000,1.0000
2019-03-12,176.2800,178.2500,176.0100,177.9200,177.9200,1094699,0.0000,1.0000
2019-03-11,175.0000,176.0000,173.1100,175.8800,175.8800,1351518,0.0000,1.0000
2019-03-08,175.0000,176.2200,173.3800,174.2200,174.2200,1440512,0.0000,1.0000
2019-03-07,176.1700,177.6150,174.7500,175.3900,175.3900,1567697,0.0000,1.0000
2019-03-06,176.4800,178.1100,176.0900,176.3800,176.3800,1572408,0.0000,1.0000
2019-03-05,175.4500,177.1700,174.9800,176.4000,176.4000,1259805,0.0000,1.0000
2019-03-04,177.3800,177.3800,173.1550,175.3100,175.3100,1827499,0.0000,1.0000
2019-03-01,181.1600,181.4850,173.9100,175.5700,175.5700,2587631,0.0000,1.0000
2019-02-28,181.1600,183.7000,180.2100,181.1600,181.1600,2336289,0.0000,1.0000
2019-02-27,182.5900,182.9000,180.7900,181.2400,181.2400,1244217,0.0000,1.0000
2019-02-26,183.5600,183.9500,182.4300,183.2800,183.2800,907347,0.0000,1.0000
2019-02-25,184.3700,184.5400,182.5200,183.3000,183.3000,1234573,0.0000,1.0000
2019-02-22,182.6100,185.2200,182.2038,183.6300,183.6300,1259103,0.0000,1.0000
2019-02-21,178.6900,182.1800,178.5100,182.1500,182.1500,1617728,0.0000,1.0000
2019-02-20,181.7600,181.9500,178.3000,179.2200,179.2200,1727130,0.0000,1.0000
2019-02-19,183.4700,184.0600,181.7100,182.2300,182.2300,1555668,0.0000,1.0000
2019-02-15,184.3800,184.3800,181.9000,183.3600,183.3600,1727771,0.0000,1.0000
2019-02-14,184.0500,184.5100,182.1700,183.7600,183.7600,1136126,0.0000,1.0000
2019-02-13,182.2000,184.5000,181.6400,184.0000,184.0000,1281240,2.0500,1.0000
2019-02-12,185.9300,186.0371,183.6100,184.6000,182.5660,1905094,0.0000,1.0000
2019-02-11,184.0000,185.4750,183.3900,185.3000,183.2583,1124642,0.0000,1.0000
2019-02-08,184.8800,186.4400,183.4400,184.1000,182.0715,1363599,0.0000,1.0000
2019-02-07,182.5700,186.0300,181.3800,185.8500,183.8022,1579883,0.0000,1.0000
2019-02-06,184.0000,184.9700,182.2450,183.8500,181.8242,973490,0.0000,1.0000
2019-02-05,182.3400,184.1500,181.1200,184.0000,181.9726,1322887,0.0000,1.0000
2019-02-04,179.0000,181.9000,178.5801,181.8700,179.8661,1531619,0.0000,1.0000
2019-02-01,184.5800,185.2200,176.6000,179.2100,177.2354,2204396,0.0000,1.0000
2019-01-31,181.0000,182.4200,179.5900,182.1200,180.1133,2544428,0.0000,1.0000
2019-01-30,179.2300,182.6200,178.6650,181.2500,179.2529,2389847,0.0000,1.0000
2019-01-29,178.1100,179.5200,177.6900,179.2000,177.2255,1817261,0.0000,1.0000
2019-01-28,176.6600,178.7900,175.5500,178.5000,176.5332,1432761,0.0000,1.0000
2019-01-25,175.8100,177.4000,175.5350,177.1100,175.1585,1228425,0.0000,1.0000
2019-01-24,174.0000,176.0200,173.0400,175.2700,173.3388,1345445,0.0000,1.0000
2019-01-23,173.2900,174.2800,172.4000,174.1700,172.2509,1299833,0.0000,1.0000
2019-01-22,173.9000,174.0500,171.8400,173.2600,171.3509,1192614,0.0000,1.0000
2019-01-18,175.5200,175.5200,172.1700,173.9600,172.0432,1251737,0.0000,1.0000
2019-01-17,172.5100,173.8800,171.3500,173.2700,171.3608,1183122,0.0000,1.0000
2019-01-16,171.2200,173.0600,170.5000,172.8900,170.9850,1359830,0.0000,1.0000
2019-01-15,170.8400,172.8800,170.6200,171.2300,169.3433,1462938,0.0000,1.0000
2019-01-14,171.5500,172.4200,170.1900,170.7400,168.8587,1093943,0.0000,1.0000
2019-01-11,173.1800,173.1800,170.5700,172.3500,170.4510,1470619,0.0000,1.0000
2019-01-10,171.2600,173.9200,170.2050,173.3500,171.4399,1563359,0.0000,1.0000
2019-01-09,173.6700,173.9300,171.7950,173.4200,171.5092,1022671,0.0000,1.0000
2019-01-08,169.8000,173.5900,168.6500,173.1800,171.2718,1616017,0.0000,1.0000
2019-01-07,167.8400,170.6500,167.5700,169.1400,167.2763,1571084,0.0000,1.0000
2019-01-04,165.8300,168.8600,164.1800,167.3800,165.5357,1056136,0.0000,1.0000
2019-01-03,164.3400,167.8100,164.3100,164.8700,163.0534,1559058,0.0000,1.0000
2019-01-02,166.3500,167.2900,163.6300,165.0100,163.1918,1439890,0.0000,1.0000
2018-12-31,168.2600,168.5950,164.9800,167.9900,166.1390,1225446,0.0000,1.0000
2018-12-28,168.8700,170.1500,165.9300,168.1000,166.2478,1408029,0.0000,1.0000
2018-12-27,165.5200,167.3600,162.5950,167.3300,165.4863,1661604,0.0000,1.0000
2018-12-26,160.7100,166.6600,159.7700,166.6600,164.8236,1542466,0.0000,1.0000
2018-12-24,164.8800,165.3700,160.5800,160.6600,158.8898,1176640,0.0000,1.0000
2018-12-21,168.0500,172.1250,164.4400,164.8800,163.0633,3190487,0.0000,1.0000
2018-12-20,171.9500,172.2500,167.7400,168.0700,166.2181,2304683,0.0000,1.0000
2018-12-19,174.9300,175.5900,170.9400,171.9500,170.0554,1833908,0.0000,1.0000
2018-12-18,176.0600,177.6900,173.1700,175.0000,173.0718,1443511,0.0000,1.0000
2018-12-17,182.7600,183.3900,174.3800,174.9800,173.0520,1691193,0.0000,1.0000
2018-12-14,183.6200,184.8400,181.3700,182.6600,180.6474,1681055,0.0000,1.0000
2018-12-13,182.9700,186.1000,182.9700,184.0600,182.0319,2518134,0.0000,1.0000
2018-12-12,188.0700,188.2300,181.8000,182.5000,180.4891,1688407,0.0000,1.0000
