timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,65.0800,65.7700,64.4600,64.8800,64.8800,1855198,0.0000,1.0000
2019-03-22,67.2500,67.4300,64.6300,65.0000,65.0000,3144850,0.0000,1.0000
2019-03-21,67.7500,68.5300,66.8200,68.0800,68.0800,1936850,0.0000,1.0000
2019-03-20,69.9100,69.9200,68.2400,68.2600,68.2600,2863374,0.0000,1.0000
2019-03-19,71.3800,71.6400,69.9300,70.1600,70.1600,1484588,0.0000,1.0000
2019-03-18,70.4700,71.0900,70.2500,70.8200,70.8200,1946394,0.0000,1.0000
2019-03-15,69.2400,70.4200,68.7100,70.1000,70.1000,4438338,0.0000,1.0000
2019-03-14,69.8800,70.7200,69.7700,70.2900,70.2900,1918150,0.0000,1.0000
2019-03-13,69.4800,70.1100,68.7900,69.8500,69.8500,1620698,0.0000,1.0000
2019-03-12,68.9900,69.3500,68.8300,69.0000,69.0000,1926225,0.0000,1.0000
2019-03-11,68.4500,68.8200,68.0300,68.6900,68.6900,1853080,0.0000,1.0000
2019-03-08,67.8300,68.2400,67.0600,68.1000,68.1000,2059527,0.0000,1.0000
2019-03-07,70.1600,70.2400,68.0600,68.3800,68.3800,3059683,0.0000,1.0000
2019-03-06,71.6100,71.9100,70.3700,70.5000,70.5000,1166850,0.0000,1.0000
2019-03-05,71.4300,71.7800,70.2500,71.5300,71.5300,1583687,0.0000,1.0000
2019-03-04,73.0000,73.6500,71.2400,71.4900,71.4900,1840058,0.0000,1.0000
2019-03-01,72.4500,73.3600,72.2100,72.8000,72.8000,2362699,0.0000,1.0000
2019-02-28,72.5500,72.5700,71.5950,71.8700,71.8700,1806203,0.0000,1.0000
2019-02-27,72.7300,72.8575,72.2100,72.4400,72.4400,1700683,0.0000,1.0000
2019-02-26,72.4300,73.3300,72.2400,72.6500,72.6500,2633099,0.0000,1.0000
2019-02-25,72.1300,73.0650,72.1300,72.4700,72.4700,3278771,0.0000,1.0000
2019-02-22,72.4500,72.6900,71.9200,72.4000,72.4000,2482500,0.0000,1.0000
2019-02-21,72.1200,72.3800,71.6400,72.1800,72.1800,2256154,0.0000,1.0000
2019-02-20,71.3200,72.4000,71.2000,72.2400,72.2400,2366336,0.0000,1.0000
2019-02-19,69.6400,71.6200,69.4500,71.3700,71.3700,2308582,0.0000,1.0000
2019-02-15,69.2600,71.2300,69.1600,70.6600,70.6600,3620622,0.0000,1.0000
2019-02-14,68.7800,69.1000,67.2800,68.6600,68.6600,2352815,0.0000,1.0000
2019-02-13,69.9300,70.0600,69.4600,69.4900,69.4900,3827300,0.0000,1.0000
2019-02-12,69.3700,70.2100,69.3200,69.5100,69.5100,4201828,0.0000,1.0000
2019-02-11,69.2500,69.4200,68.6100,68.7900,68.7900,3035241,0.0000,1.0000
2019-02-08,69.3900,69.6300,67.9000,68.9600,68.9600,2686204,0.0000,1.0000
2019-02-07,70.0800,70.4500,69.1600,69.7600,69.7600,4183228,0.0000,1.0000
2019-02-06,70.6400,71.1700,69.9900,70.2400,70.2400,3692141,0.0000,1.0000
2019-02-05,71.2200,71.4073,70.4900,70.9100,70.9100,1874094,0.0000,1.0000
2019-02-04,71.4100,71.6950,70.8000,71.1000,71.1000,3758357,0.0000,1.0000
2019-02-01,71.1800,71.7400,70.8200,71.1700,71.1700,2856713,0.0000,1.0000
2019-01-31,70.5900,71.2650,70.3900,70.9000,70.9000,3851334,0.0000,1.0000
2019-01-30,70.7200,71.5500,69.7750,71.0200,71.0200,3053047,0.0000,1.0000
2019-01-29,71.3800,71.9700,70.5900,70.6300,70.6300,2931888,0.0000,1.0000
2019-01-28,71.8700,72.3250,71.4200,71.5300,71.5300,3198243,0.0000,1.0000
2019-01-25,72.1300,73.0900,72.1000,72.6400,72.6400,2003091,0.0000,1.0000
2019-01-24,70.7200,72.0800,70.6100,71.3200,71.3200,2977322,0.0000,1.0000
2019-01-23,70.7700,71.1800,69.8100,70.8200,70.8200,2470195,0.0000,1.0000
2019-01-22,69.3000,70.6000,68.7500,70.5900,70.5900,4663212,0.0000,1.0000
2019-01-18,75.5000,77.0000,69.8800,71.3000,71.3000,10251695,0.0000,1.0000
2019-01-17,69.6900,71.4500,69.3900,71.0500,71.0500,4718314,0.0000,1.0000
2019-01-16,69.2700,70.9500,69.0200,70.4700,70.4700,2990515,0.0000,1.0000
2019-01-15,68.4600,68.8882,67.9100,68.6600,68.6600,2201928,0.0000,1.0000
2019-01-14,66.9500,68.9900,66.5411,68.4600,68.4600,3020170,0.0000,1.0000
2019-01-11,66.2500,67.4700,65.6800,67.0100,67.0100,1840637,0.0000,1.0000
2019-01-10,66.3100,67.0900,66.0500,66.5100,66.5100,2699901,0.0000,1.0000
2019-01-09,65.5800,67.2400,65.3600,66.7800,66.7800,2882849,0.0000,1.0000
2019-01-08,66.0000,66.3500,64.2300,65.2700,65.2700,2783996,0.0000,1.0000
2019-01-07,63.8200,65.5900,63.1500,64.9900,64.9900,4119868,0.0000,1.0000
2019-01-04,63.1000,64.2400,62.5300,64.1900,64.1900,4080579,0.0000,1.0000
2019-01-03,63.3700,63.3700,61.6800,61.8500,61.8500,3935413,0.0000,1.0000
2019-01-02,61.9900,64.1100,61.8600,63.9300,63.9300,2420466,0.0000,1.0000
2018-12-31,63.4200,64.1100,62.2900,63.0700,63.0700,2534289,0.4700,1.0000
2018-12-28,63.5900,64.2000,62.4900,63.4800,63.0104,2635586,0.0000,1.0000
2018-12-27,61.5500,63.2200,60.8500,63.2200,62.7524,2470145,0.0000,1.0000
2018-12-26,59.8600,62.8700,57.8700,62.8500,62.3851,3318779,0.0000,1.0000
2018-12-24,59.9400,60.8100,58.8010,59.7800,59.3378,1832242,0.0000,1.0000
2018-12-21,60.2600,61.3300,59.6300,60.1700,59.7249,5719475,0.0000,1.0000
2018-12-20,59.4000,61.6300,59.3100,60.4000,59.9532,4067708,0.0000,1.0000
2018-12-19,61.6300,62.4300,59.0900,59.8800,59.4371,6816935,0.0000,1.0000
2018-12-18,64.2500,64.8000,61.6600,61.6900,61.2337,5225146,0.0000,1.0000
2018-12-17,63.3200,65.3400,63.0400,63.8900,63.4174,3375872,0.0000,1.0000
2018-12-14,62.4300,63.7000,62.1600,63.5300,63.0601,3964282,0.0000,1.0000
2018-12-13,63.6100,64.0300,62.8800,63.1900,62.7226,3359760,0.0000,1.0000
2018-12-12,64.2400,64.5700,63.3900,63.4300,62.9608,3815983,0.0000,1.0000
2018-12-11,64.9900,65.5200,62.7200,63.0900,62.6233,2791208,0.0000,1.0000
2018-12-10,64.6500,65.0400,62.4600,64.0300,63.5564,2277289,0.0000,1.0000
2018-12-07,65.5900,67.2400,65.0400,65.0400,64.5589,4190104,0.0000,1.0000
2018-12-06,65.9600,66.1400,63.4000,65.9000,65.4125,5425064,0.0000,1.0000
2018-12-04,72.6100,72.8500,67.5500,67.8100,67.3084,3981951,0.0000,1.0000
2018-12-03,74.3100,75.3000,72.8050,73.1500,72.6089,2312300,0.0000,1.0000
2018-11-30,72.2700,73.2850,72.1850,73.0200,72.4799,3238053,0.0000,1.0000
2018-11-29,73.7500,74.1900,72.0800,72.3700,71.8347,2950042,0.0000,1.0000
2018-11-28,72.9400,74.3800,71.5900,74.3800,73.8298,1897756,0.0000,1.0000
2018-11-27,73.3000,73.5600,72.3700,72.7000,72.1622,2424028,0.0000,1.0000
2018-11-26,72.9200,74.4800,72.5200,73.9200,73.3732,1940319,0.0000,1.0000
2018-11-23,71.3000,72.7300,71.0900,71.8900,71.3582,1071987,0.0000,1.0000
2018-11-21,71.6300,73.1100,71.2600,72.0900,71.5568,2561072,0.0000,1.0000
2018-11-20,70.9600,71.4200,69.3600,71.1900,70.6634,3287489,0.0000,1.0000
2018-11-19,71.5100,72.1300,70.8500,71.7700,71.2391,1884983,0.0000,1.0000
2018-11-16,71.2500,71.8750,70.6100,71.6500,71.1200,1983187,0.0000,1.0000
2018-11-15,69.4800,71.8800,69.0500,71.8600,71.3285,1657164,0.0000,1.0000
