timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,65.3900,66.3100,65.3900,66.2000,66.2000,3007245,0.0000,1.0000
2019-03-22,66.0900,66.5500,65.5500,65.5600,65.5600,1668776,0.0000,1.0000
2019-03-21,65.3400,66.1200,65.2900,65.9100,65.9100,1947990,0.0000,1.0000
2019-03-20,66.1500,66.3000,65.3700,65.4100,65.4100,1878513,0.0000,1.0000
2019-03-19,66.7000,66.7870,65.9950,66.1800,66.1800,2730822,0.0000,1.0000
2019-03-18,66.2000,66.5300,66.1200,66.4600,66.4600,2387642,0.0000,1.0000
2019-03-15,65.9900,66.6500,65.8200,66.2700,66.2700,7788636,0.0000,1.0000
2019-03-14,66.6300,66.6400,66.0350,66.1200,66.1200,2253937,0.0000,1.0000
2019-03-13,66.2900,66.7000,66.1400,66.4500,66.4500,2084018,0.0000,1.0000
2019-03-12,66.4900,66.4900,66.1000,66.1800,66.1800,2800464,0.0000,1.0000
2019-03-11,65.8700,66.4900,65.6800,66.4600,66.4600,1955322,0.0000,1.0000
2019-03-08,65.7300,65.9100,65.2400,65.7800,65.7800,2190642,0.0000,1.0000
2019-03-07,66.0300,66.4200,65.5900,65.8700,65.8700,1686784,0.0000,1.0000
2019-03-06,66.6200,66.6200,65.7700,66.2800,66.2800,1928669,0.0000,1.0000
2019-03-05,67.0000,67.1200,66.3000,66.5800,66.5800,2295558,0.0000,1.0000
2019-03-04,67.6000,67.7400,66.5700,67.1100,67.1100,3198007,0.0000,1.0000
2019-03-01,67.7700,67.8600,67.1500,67.5800,67.5800,2061584,0.0000,1.0000
2019-02-28,67.3600,67.8900,67.2200,67.5500,67.5500,2546314,0.0000,1.0000
2019-02-27,67.0500,67.3500,66.7900,67.1100,67.1100,2105468,0.0000,1.0000
2019-02-26,67.3300,67.5700,66.7900,67.4100,67.4100,2625312,0.0000,1.0000
2019-02-25,67.7000,67.8500,67.0100,67.2600,67.2600,2995134,0.0000,1.0000
2019-02-22,66.6800,67.3900,66.5000,67.3300,67.3300,1942011,0.0000,1.0000
2019-02-21,67.4100,67.4900,66.6700,67.2400,67.2400,1975730,0.0000,1.0000
2019-02-20,67.1000,67.5300,66.7300,67.3500,67.3500,2774460,0.0000,1.0000
2019-02-19,67.6500,67.6500,66.8000,67.0100,67.0100,3169810,0.0000,1.0000
2019-02-15,67.0400,67.5500,66.6900,67.5400,67.5400,4517291,0.0000,1.0000
2019-02-14,66.2300,66.9400,65.6900,66.5600,66.5600,2800083,0.0000,1.0000
2019-02-13,66.9800,66.9800,66.2100,66.5300,66.5300,3369858,0.0000,1.0000
2019-02-12,66.2900,66.9900,66.1900,66.9400,66.9400,4097936,0.0000,1.0000
2019-02-11,66.3300,66.5100,66.0200,66.2900,66.2900,3605341,0.0000,1.0000
2019-02-08,65.0300,66.2300,64.9600,66.2000,66.2000,6063095,0.0000,1.0000
2019-02-07,64.8800,65.2700,64.7600,65.1100,65.1100,6167033,0.0000,1.0000
2019-02-06,65.4700,65.7300,64.7700,65.3300,65.3300,5278707,0.0000,1.0000
2019-02-05,65.3000,65.7300,64.9100,65.3500,65.3500,8140558,0.0000,1.0000
2019-02-04,65.8700,67.3400,65.6500,66.6400,66.6400,9543893,0.0000,1.0000
2019-02-01,63.7000,64.0100,63.2700,63.5700,63.5700,6437228,0.0000,1.0000
2019-01-31,62.7100,63.8800,62.4600,63.8500,63.8500,6043770,0.0000,1.0000
2019-01-30,62.1900,63.0900,62.1300,62.9000,62.9000,2756318,0.0000,1.0000
2019-01-29,62.0800,62.5400,61.8000,62.0500,62.0500,2447019,0.0000,1.0000
2019-01-28,61.9600,62.2900,61.4900,62.2700,62.2700,2233762,0.0000,1.0000
2019-01-25,62.6300,63.2100,61.8850,62.0200,62.0200,2271598,0.0000,1.0000
2019-01-24,62.6000,62.6000,61.8200,62.5300,62.5300,3109511,0.0000,1.0000
2019-01-23,62.6900,63.2500,62.6900,62.8900,62.8900,3308578,0.0000,1.0000
2019-01-22,62.7600,62.8650,62.0150,62.6600,62.6600,3276974,0.0000,1.0000
2019-01-18,62.6400,63.2800,62.1300,62.6800,62.6800,2600254,0.0000,1.0000
2019-01-17,62.0400,62.4400,61.9700,62.2400,62.2400,2910615,0.0000,1.0000
2019-01-16,61.9700,62.3300,61.3310,62.2500,62.2500,2832504,0.0000,1.0000
2019-01-15,62.8200,63.0400,62.4450,62.7200,62.7200,2415284,0.0000,1.0000
2019-01-14,62.6200,63.3500,62.0000,62.9500,62.9500,3873601,0.0000,1.0000
2019-01-11,62.9600,63.1300,62.5400,63.0400,63.0400,2151141,0.0000,1.0000
2019-01-10,62.3500,63.2800,62.0200,63.2600,63.2600,2033114,0.0000,1.0000
2019-01-09,62.6000,62.7650,62.0500,62.4800,62.4800,4280452,0.0000,1.0000
2019-01-08,62.0700,62.9700,61.9400,62.7800,62.7800,2739490,0.0000,1.0000
2019-01-07,61.8700,62.4600,61.6700,61.8000,61.8000,3021670,0.0000,1.0000
2019-01-04,61.5600,62.5900,61.4700,61.8500,61.8500,3017056,0.0000,1.0000
2019-01-03,61.5900,61.9500,60.9800,61.3700,61.3700,3554706,0.3900,1.0000
2019-01-02,62.1600,62.2500,61.4390,62.0500,61.6582,2221582,0.0000,1.0000
2018-12-31,62.4400,62.8300,62.0500,62.6600,62.2643,1947352,0.0000,1.0000
2018-12-28,62.3800,62.9000,61.5793,62.2800,61.8867,2523728,0.0000,1.0000
2018-12-27,61.0400,62.0500,59.9700,62.0500,61.6582,3334419,0.0000,1.0000
2018-12-26,60.1300,61.3600,59.4400,61.2300,60.8433,5111422,0.0000,1.0000
2018-12-24,60.7800,60.8700,59.9200,59.9500,59.5714,1467787,0.0000,1.0000
2018-12-21,61.5100,62.7800,60.8500,60.8900,60.5055,7082231,0.0000,1.0000
2018-12-20,63.2400,63.3900,61.2050,61.8200,61.4296,4475317,0.0000,1.0000
2018-12-19,64.2500,64.6500,63.1900,63.4900,63.0891,2893603,0.0000,1.0000
2018-12-18,64.4400,64.8900,63.6600,64.0200,63.6157,2825862,0.0000,1.0000
2018-12-17,65.4100,65.4566,63.8844,64.2100,63.8045,2985413,0.0000,1.0000
2018-12-14,65.5700,66.3250,65.1900,65.4500,65.0367,2856228,0.0000,1.0000
2018-12-13,65.5100,66.3700,65.5100,65.9800,65.5634,2514598,0.0000,1.0000
2018-12-12,66.0500,66.3100,65.3000,65.5500,65.1361,1809181,0.0000,1.0000
2018-12-11,65.3600,65.8100,64.8300,65.3000,64.8876,2564514,0.0000,1.0000
2018-12-10,65.0000,65.4400,63.9400,64.9000,64.4902,3014404,0.0000,1.0000
2018-12-07,65.8200,66.0400,64.5800,65.0200,64.6094,2817128,0.0000,1.0000
2018-12-06,65.8300,66.0000,64.1000,65.9400,65.5236,4944880,0.0000,1.0000
2018-12-04,66.8800,67.1800,66.0200,66.1300,65.7124,5719300,0.0000,1.0000
2018-12-03,67.3500,67.4100,66.4000,67.0400,66.6167,4039327,0.0000,1.0000
2018-11-30,67.4400,67.6600,66.2700,67.4000,66.9744,6067762,0.0000,1.0000
2018-11-29,66.6400,67.7900,66.6400,67.5400,67.1135,2625861,0.0000,1.0000
2018-11-28,65.4000,66.8700,65.4000,66.8500,66.4279,4548222,0.0000,1.0000
2018-11-27,65.0100,65.4300,64.7400,65.3200,64.9075,3808818,0.0000,1.0000
2018-11-26,65.1900,65.3600,64.2750,64.9000,64.4902,2790044,0.0000,1.0000
2018-11-23,64.8000,65.4100,64.4700,64.9000,64.4902,1583575,0.0000,1.0000
2018-11-21,65.4300,65.8400,64.1000,64.4800,64.0728,3399513,0.0000,1.0000
2018-11-20,64.2700,66.1200,64.2700,65.0900,64.6790,3210123,0.0000,1.0000
2018-11-19,65.9400,66.3300,65.7500,66.0200,65.6031,3374386,0.0000,1.0000
2018-11-16,66.3500,66.9500,66.1500,66.3900,65.9708,5856985,0.0000,1.0000
2018-11-15,66.1700,66.2800,65.3600,66.2200,65.8018,2852191,0.0000,1.0000
2018-11-14,67.0200,67.0425,66.1800,66.4700,66.0503,2689686,0.0000,1.0000
2018-11-13,67.2500,67.8500,66.5600,66.8600,66.4378,2702459,0.0000,1.0000
2018-11-12,66.8800,67.9850,66.7600,67.3700,66.9446,2977551,0.0000,1.0000
