timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,80.3500,81.3800,80.1366,80.8500,80.8500,438161,0.0000,1.0000
2019-03-22,81.6400,81.7900,80.2500,80.3100,80.3100,772693,0.0000,1.0000
2019-03-21,81.4700,82.5500,80.9200,82.3700,82.3700,464055,0.0000,1.0000
2019-03-20,83.4100,83.4600,81.8000,81.9200,81.9200,686440,0.0000,1.0000
2019-03-19,84.4000,84.6500,83.2900,83.4100,83.4100,509118,0.0000,1.0000
2019-03-18,83.4200,84.5400,83.3500,84.0100,84.0100,592152,0.0000,1.0000
2019-03-15,82.6200,83.3500,82.4100,83.1100,83.1100,932525,0.0000,1.0000
2019-03-14,82.5100,82.7200,82.0200,82.6800,82.6800,521786,0.0000,1.0000
2019-03-13,82.7500,83.1600,82.1600,82.5600,82.5600,571250,0.0000,1.0000
2019-03-12,82.3300,82.6200,82.1500,82.3200,82.3200,495512,0.0000,1.0000
2019-03-11,81.4400,82.1400,81.2700,82.0900,82.0900,578341,0.0000,1.0000
2019-03-08,80.6800,81.2400,80.5000,81.1500,81.1500,517068,0.0000,1.0000
2019-03-07,81.4900,81.5000,80.4500,81.2500,81.2500,545282,0.0000,1.0000
2019-03-06,82.4300,82.6600,81.7800,81.7900,81.7900,307093,0.0000,1.0000
2019-03-05,82.6700,83.0700,81.7700,82.5500,82.5500,405124,0.0000,1.0000
2019-03-04,83.0100,83.5400,81.7000,82.4300,82.4300,516386,0.0000,1.0000
2019-03-01,83.1100,83.6800,82.7700,82.8700,82.8700,590977,0.0000,1.0000
2019-02-28,82.6900,83.0800,82.3900,82.5600,82.5600,503473,0.0000,1.0000
2019-02-27,82.5100,83.0300,82.4300,82.7400,82.7400,345563,0.0000,1.0000
2019-02-26,82.2800,83.1800,82.2800,82.6100,82.6100,326686,0.0000,1.0000
2019-02-25,83.4400,83.4400,82.4800,82.6200,82.6200,423329,0.0000,1.0000
2019-02-22,83.4300,83.4300,82.7451,82.9400,82.9400,486813,0.0000,1.0000
2019-02-21,84.0600,84.2400,83.0100,83.2000,83.2000,462140,0.0000,1.0000
2019-02-20,83.6500,84.0400,83.1900,84.0100,84.0100,386244,0.0000,1.0000
2019-02-19,83.0500,83.7200,82.6200,83.6400,83.6400,431659,0.0000,1.0000
2019-02-15,82.6200,83.4100,82.4400,83.3600,83.3600,643005,0.0000,1.0000
2019-02-14,81.8300,82.3700,81.3600,81.8300,81.8300,462972,0.0000,1.0000
2019-02-13,82.9900,83.6200,82.4600,82.5800,82.5800,398785,0.0000,1.0000
2019-02-12,82.0700,83.0500,82.0200,82.7400,82.7400,525889,0.0000,1.0000
2019-02-11,81.4100,81.4800,80.1600,81.3900,81.3900,347529,0.0000,1.0000
2019-02-08,81.0900,81.5800,79.7000,81.0200,81.0200,474648,0.0000,1.0000
2019-02-07,81.6500,82.4600,80.7100,81.5200,81.5200,695335,0.0000,1.0000
