timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,266.8700,269.4900,264.0050,268.8000,268.8000,1622354,0.0000,1.0000
2019-03-22,268.8500,269.8543,263.6100,263.8100,263.8100,1736523,0.0000,1.0000
2019-03-21,264.6200,271.6999,264.1300,271.0500,271.0500,1424118,0.0000,1.0000
2019-03-20,265.8300,267.8500,262.8900,265.6300,265.6300,1524181,0.0000,1.0000
2019-03-19,264.4600,267.4100,264.0600,265.9600,265.9600,1551259,0.0000,1.0000
2019-03-18,263.0500,264.0000,261.1000,263.5300,263.5300,1449213,0.0000,1.0000
2019-03-15,262.4600,264.3900,262.0100,263.0900,263.0900,2371785,0.0000,1.0000
2019-03-14,259.8300,261.8800,258.8250,261.4300,261.4300,1513894,0.1900,1.0000
2019-03-13,256.6800,259.0000,254.7200,258.8700,258.6820,1569114,0.0000,1.0000
2019-03-12,255.5400,256.1750,254.6600,254.9200,254.7349,1297171,0.0000,1.0000
2019-03-11,250.8700,254.4300,249.6300,254.3200,254.1353,1589311,0.0000,1.0000
2019-03-08,249.2600,250.1100,246.6700,249.8500,249.6685,1169224,0.0000,1.0000
2019-03-07,251.2300,251.7200,248.2600,250.8100,250.6279,1227534,0.0000,1.0000
2019-03-06,254.0000,254.4700,250.9000,251.2400,251.0575,1533111,0.0000,1.0000
2019-03-05,259.7100,260.3000,253.4050,254.4600,254.2752,2900228,0.0000,1.0000
2019-03-04,266.0000,266.1800,258.3150,259.4500,259.2616,1342811,0.0000,1.0000
2019-03-01,261.0000,264.4500,259.6900,264.0600,263.8682,1433662,0.0000,1.0000
2019-02-28,257.8500,260.1100,256.5900,259.5700,259.3815,2061373,0.0000,1.0000
2019-02-27,253.0600,259.5800,253.0600,259.1400,258.9518,1759100,0.0000,1.0000
2019-02-26,253.7300,255.1900,252.8300,253.9900,253.8055,1198324,0.0000,1.0000
2019-02-25,252.5200,255.7300,252.5100,253.8400,253.6557,1194665,0.0000,1.0000
2019-02-22,251.4500,252.3700,251.1650,252.1000,251.9169,1117967,0.0000,1.0000
2019-02-21,250.8700,251.5721,249.7000,251.4500,251.2674,840323,0.0000,1.0000
2019-02-20,250.9500,252.6100,249.8200,252.2200,252.0368,1091108,0.0000,1.0000
2019-02-19,251.6700,252.2100,250.6901,250.8300,250.6478,1100042,0.0000,1.0000
2019-02-15,248.8100,252.5100,247.6800,252.4900,252.3066,1718195,0.0000,1.0000
2019-02-14,246.8600,247.3900,245.7400,246.1400,245.9612,996551,0.0000,1.0000
2019-02-13,249.2200,249.6650,246.4500,247.3900,247.2103,1014451,0.0000,1.0000
2019-02-12,246.4200,249.3100,245.2600,248.3300,248.1497,1189224,0.0000,1.0000
2019-02-11,243.5100,246.1400,243.3800,244.5700,244.3924,1232983,0.0000,1.0000
2019-02-08,241.4900,243.5800,240.9000,243.5100,243.3332,794599,0.0000,1.0000
2019-02-07,245.1100,245.8600,240.9200,242.9100,242.7336,1147750,0.0000,1.0000
2019-02-06,245.1900,247.8700,245.1900,247.2500,247.0704,1033110,0.0000,1.0000
2019-02-05,243.5900,246.6600,242.9200,246.0100,245.8313,1626148,0.0000,1.0000
2019-02-04,243.5300,244.0600,240.5900,243.5900,243.4131,1200505,0.0000,1.0000
2019-02-01,245.3700,245.6700,242.5400,243.4300,243.2532,1622540,0.0000,1.0000
