timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,98.9000,99.3900,97.5700,98.2200,98.2200,932815,0.0000,1.0000
2019-03-22,101.4900,101.6800,98.3600,98.7600,98.7600,1243016,0.0000,1.0000
2019-03-21,100.6000,102.5100,100.0500,102.3100,102.3100,1210151,0.0000,1.0000
2019-03-20,102.5700,102.5700,100.7050,100.8600,100.8600,1122452,0.0000,1.0000
2019-03-19,102.9900,104.1700,102.2900,102.6400,102.6400,1684725,0.0000,1.0000
2019-03-18,102.5100,103.1600,102.4000,102.8500,102.8500,1539187,0.0000,1.0000
2019-03-15,100.4600,102.5700,100.1900,102.4400,102.4400,2842189,0.0000,1.0000
2019-03-14,100.9500,100.9500,99.8200,100.6800,100.6800,1180380,0.7600,1.0000
2019-03-13,100.9500,101.4600,100.3000,101.3500,100.5907,1227025,0.0000,1.0000
2019-03-12,99.2400,100.5900,99.2400,100.4300,99.6776,1241405,0.0000,1.0000
2019-03-11,97.4600,99.1500,97.4600,99.0900,98.3476,1043904,0.0000,1.0000
2019-03-08,95.5600,96.9200,95.0700,96.8400,96.1145,1106800,0.0000,1.0000
2019-03-07,97.8200,98.1500,96.0400,96.2700,95.5487,1223987,0.0000,1.0000
2019-03-06,98.8800,99.2600,98.0500,98.0600,97.3253,1125976,0.0000,1.0000
2019-03-05,99.7400,99.7400,98.7600,98.8100,98.0697,1152693,0.0000,1.0000
2019-03-04,101.1300,101.7400,98.7700,99.5400,98.7942,1975947,0.0000,1.0000
2019-03-01,100.9100,102.3250,100.5150,100.6700,99.9158,1099690,0.0000,1.0000
2019-02-28,100.4000,100.8150,99.6100,100.4300,99.6776,1317581,0.0000,1.0000
2019-02-27,98.4300,100.3000,98.2700,100.2400,99.4890,1096766,0.0000,1.0000
2019-02-26,97.9700,99.1300,97.5100,98.5100,97.7720,1124524,0.0000,1.0000
2019-02-25,98.8000,99.5600,97.8700,98.1100,97.3749,1100038,0.0000,1.0000
2019-02-22,97.1900,98.1300,97.1900,98.0500,97.3154,1007565,0.0000,1.0000
2019-02-21,98.2600,98.3600,96.6800,97.1000,96.3725,1190344,0.0000,1.0000
2019-02-20,97.0300,98.1800,96.5800,98.1800,97.4444,1446114,0.0000,1.0000
2019-02-19,97.3400,97.5800,96.4400,97.4000,96.6703,1553321,0.0000,1.0000
2019-02-15,97.7900,97.8400,96.7600,97.5800,96.8489,1696044,0.0000,1.0000
2019-02-14,97.5700,98.0400,96.5700,97.3400,96.6107,1403307,0.0000,1.0000
2019-02-13,97.4400,98.9300,97.4400,98.1300,97.3948,1694171,0.0000,1.0000
2019-02-12,93.7200,97.1500,93.6250,97.0900,96.3626,1599068,0.0000,1.0000
2019-02-11,92.9800,93.0650,92.4400,92.6700,91.9757,1461475,0.0000,1.0000
