timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,135.1100,135.7500,134.3697,134.9500,134.9500,1143465,0.0000,1.0000
2019-03-22,133.9200,136.2450,133.7800,134.9000,134.9000,2352795,0.0000,1.0000
2019-03-21,130.6800,134.4400,130.2500,134.3700,134.3700,1527460,0.0000,1.0000
2019-03-20,133.1000,133.1000,131.2500,131.3300,131.3300,1339511,0.0000,1.0000
2019-03-19,135.5500,136.0800,132.6200,132.9300,132.9300,1675833,0.0000,1.0000
2019-03-18,134.6500,135.1600,134.3000,134.9400,134.9400,1370239,0.0000,1.0000
2019-03-15,133.4800,134.7100,132.9350,134.1800,134.1800,2113111,0.0000,1.0000
2019-03-14,133.1600,133.5100,132.6400,133.0600,133.0600,1035612,0.0000,1.0000
2019-03-13,132.9700,133.8700,132.7600,133.0000,133.0000,1189567,0.0000,1.0000
2019-03-12,132.2100,132.8800,131.7200,132.7200,132.7200,967344,0.0000,1.0000
2019-03-11,132.1300,132.4200,131.4600,131.8700,131.8700,1293325,0.0000,1.0000
2019-03-08,130.3100,131.1100,130.0000,131.0200,131.0200,1153767,0.7700,1.0000
2019-03-07,131.7200,131.8500,130.6500,131.4900,130.7218,1141061,0.0000,1.0000
2019-03-06,132.7100,133.3600,131.6900,131.8000,131.0299,896724,0.0000,1.0000
2019-03-05,132.4200,132.8200,131.2800,132.6900,131.9147,1324226,0.0000,1.0000
2019-03-04,133.2400,133.6600,130.9200,132.1500,131.3779,907915,0.0000,1.0000
2019-03-01,133.5200,134.3500,132.4600,133.0300,132.2528,1360403,0.0000,1.0000
2019-02-28,132.5800,133.0700,132.2200,132.9100,132.1335,1739672,0.0000,1.0000
2019-02-27,132.8100,133.4190,132.4400,132.6200,131.8452,1350089,0.0000,1.0000
2019-02-26,132.4600,133.9000,132.3600,133.2700,132.4914,2278715,0.0000,1.0000
2019-02-25,131.3000,133.1300,131.3000,132.4900,131.7159,2051141,0.0000,1.0000
2019-02-22,130.2100,131.3100,129.9800,131.0200,130.2545,1422860,0.0000,1.0000
2019-02-21,129.9100,130.0000,129.1400,129.8200,129.0615,1227829,0.0000,1.0000
2019-02-20,129.0500,130.1300,128.9800,129.7400,128.9820,1784791,0.0000,1.0000
2019-02-19,128.3100,129.4600,128.0100,129.1000,128.3457,1459280,0.0000,1.0000
2019-02-15,128.0500,128.8400,127.8650,128.7400,127.9878,1304575,0.0000,1.0000
2019-02-14,127.1300,127.9500,126.2300,126.9300,126.1884,1266508,0.0000,1.0000
2019-02-13,127.7900,129.1300,127.5500,128.0400,127.2919,1350950,0.0000,1.0000
2019-02-12,126.4300,127.3700,126.1100,127.2600,126.5165,1729467,0.0000,1.0000
2019-02-11,126.0400,126.0400,124.3600,125.4200,124.6872,1610213,0.0000,1.0000
2019-02-08,126.5300,126.7600,124.6200,125.7900,125.0551,1252718,0.0000,1.0000
2019-02-07,125.1900,126.8000,125.1100,126.7600,126.0194,1083916,0.0000,1.0000
2019-02-06,125.9800,125.9800,124.8700,125.5500,124.8165,1504900,0.0000,1.0000
2019-02-05,126.1200,126.2500,125.3300,126.1800,125.4428,1306400,0.0000,1.0000
2019-02-04,126.4900,126.5000,125.0200,126.0400,125.3036,1214137,0.0000,1.0000
2019-02-01,126.0300,126.5300,125.1300,126.4900,125.7510,1064703,0.0000,1.0000
2019-01-31,125.4000,125.8000,124.3800,125.5400,124.8065,1619940,0.0000,1.0000
2019-01-30,124.7100,126.1900,124.0800,125.8800,125.1445,1682435,0.0000,1.0000
2019-01-29,124.7400,125.4700,124.3800,124.8200,124.0907,1275628,0.0000,1.0000
2019-01-28,124.2400,125.1300,123.6100,125.0300,124.2995,1284530,0.0000,1.0000
2019-01-25,125.0100,126.1700,124.5400,124.9800,124.2498,1972751,0.0000,1.0000
2019-01-24,122.7500,124.4600,122.5800,124.3800,123.6533,1621000,0.0000,1.0000
2019-01-23,122.6700,123.2450,120.6039,123.0200,122.3012,2008713,0.0000,1.0000
2019-01-22,123.5000,125.5000,121.3408,122.3600,121.6451,2155813,0.0000,1.0000
2019-01-18,123.7200,124.4100,122.7400,124.0100,123.2855,1923862,0.0000,1.0000
2019-01-17,121.6400,122.9900,121.2800,122.9400,122.2217,1109153,0.0000,1.0000
2019-01-16,122.2900,122.5800,121.1800,122.3000,121.5854,1349813,0.0000,1.0000
2019-01-15,120.5300,121.8600,120.5300,121.8200,121.1083,1373389,0.0000,1.0000
2019-01-14,119.8700,120.9700,119.7900,120.5800,119.8755,1406827,0.0000,1.0000
2019-01-11,119.8900,120.8600,119.2700,120.4700,119.7661,839353,0.0000,1.0000
2019-01-10,118.5300,120.3500,118.3900,120.2700,119.5673,1061453,0.0000,1.0000
2019-01-09,118.6600,119.5600,117.9800,118.6800,117.9866,1752991,0.0000,1.0000
2019-01-08,119.3800,119.5100,116.8400,117.8400,117.1515,1403869,0.0000,1.0000
2019-01-07,118.2100,119.5400,117.7100,118.3000,117.6088,1082816,0.0000,1.0000
2019-01-04,116.6600,118.7800,116.1310,118.6800,117.9866,1793890,0.0000,1.0000
