timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,124.6300,124.9500,122.6300,123.0000,123.0000,1100455,0.0000,1.0000
2019-05-02,124.3200,124.5075,123.0100,124.0000,124.0000,1217165,0.0000,1.0000
2019-05-01,126.8000,127.4000,124.6300,124.7500,124.7500,929239,0.0000,1.0000
2019-04-30,127.6600,128.0500,125.1400,126.8700,126.8700,950547,0.0000,1.0000
2019-04-29,128.4500,129.3000,125.0000,127.2100,127.2100,863587,0.0000,1.0000
2019-04-26,128.7900,129.4650,123.8000,129.2300,129.2300,1444228,0.0000,1.0000
2019-04-25,129.6000,132.9100,128.5300,131.7000,131.7000,879163,0.0000,1.0000
2019-04-24,128.0000,133.3300,128.0000,130.3100,130.3100,1732246,0.0000,1.0000
2019-04-23,123.1800,129.5000,122.8300,128.0800,128.0800,1114084,0.0000,1.0000
2019-04-22,124.4400,125.7900,121.9500,122.9000,122.9000,1071500,0.0000,1.0000
2019-04-18,122.6900,124.6900,121.5400,124.5100,124.5100,1223782,0.0000,1.0000
2019-04-17,126.5000,126.5400,120.9000,122.6600,122.6600,1321885,0.0000,1.0000
2019-04-16,133.8900,133.8900,125.4350,126.3300,126.3300,1389298,0.0000,1.0000
2019-04-15,132.7800,133.2400,132.1000,132.7400,132.7400,456736,0.0000,1.0000
2019-04-12,133.3100,134.2700,132.2200,132.8000,132.8000,817115,0.0000,1.0000
2019-04-11,135.1400,135.1800,132.2900,132.4200,132.4200,425845,0.0000,1.0000
2019-04-10,133.9600,135.1900,133.8500,134.4900,134.4900,814985,0.0000,1.0000
2019-04-09,132.3200,133.9800,132.1900,133.8500,133.8500,617857,0.0000,1.0000
2019-04-08,134.9500,135.0000,132.7300,133.0000,133.0000,553020,0.0000,1.0000
2019-04-05,134.3800,135.0200,134.3300,134.7200,134.7200,626877,0.0000,1.0000
2019-04-04,134.5200,134.9400,133.6400,133.9700,133.9700,416424,0.0000,1.0000
2019-04-03,134.6300,135.1300,133.5900,134.2500,134.2500,548355,0.0000,1.0000
2019-04-02,134.4100,134.8400,133.0100,133.7500,133.7500,464344,0.0000,1.0000
2019-04-01,134.8900,135.5900,134.5100,134.7500,134.7500,814977,0.0000,1.0000
2019-03-29,134.3700,134.4200,133.1600,133.7700,133.7700,916981,0.0000,1.0000
2019-03-28,133.0700,133.6600,132.6700,133.5100,133.5100,464000,0.0000,1.0000
2019-03-27,133.6900,134.5700,132.0800,132.7700,132.7700,455676,0.0000,1.0000
2019-03-26,134.6000,135.5400,133.5000,134.1400,134.1400,549123,0.0000,1.0000
2019-03-25,134.8000,135.4000,133.8900,134.3700,134.3700,600185,0.0000,1.0000
2019-03-22,135.4000,136.9100,135.3000,135.3100,135.3100,565923,0.0000,1.0000
2019-03-21,132.9000,136.9800,132.4400,136.5700,136.5700,388569,0.0000,1.0000
2019-03-20,135.4300,135.8400,133.6000,134.0200,134.0200,418325,0.0000,1.0000
2019-03-19,136.1200,136.5800,134.9200,135.4300,135.4300,900929,0.0000,1.0000
2019-03-18,134.4500,135.9300,134.4500,135.8400,135.8400,540120,0.0000,1.0000
2019-03-15,134.0200,134.8700,133.7800,134.2400,134.2400,786540,0.0000,1.0000
2019-03-14,132.9700,134.9100,132.6050,134.1200,134.1200,552543,0.0000,1.0000
2019-03-13,131.7200,133.3400,130.8100,132.6900,132.6900,602032,0.0000,1.0000
2019-03-12,130.1800,131.7500,129.5800,131.0900,131.0900,591785,0.0000,1.0000
2019-03-11,129.9200,130.6300,128.4200,129.7000,129.7000,736350,0.0000,1.0000
2019-03-08,128.8000,129.2700,127.6800,129.1900,129.1900,721917,0.0000,1.0000
2019-03-07,132.6000,133.5600,128.8700,129.5200,129.5200,1152920,0.0000,1.0000
2019-03-06,137.2300,137.5100,132.7500,132.8300,132.8300,740956,0.0000,1.0000
2019-03-05,138.2300,138.6700,136.1500,137.2300,137.2300,676638,0.0000,1.0000
2019-03-04,138.8900,139.3500,136.0900,137.2400,137.2400,933375,0.0000,1.0000
2019-03-01,140.3300,142.2150,139.3400,140.8000,140.8000,796485,0.0000,1.0000
2019-02-28,133.4700,141.4100,133.4700,138.8300,138.8300,1405774,0.1000,1.0000
2019-02-27,133.3700,134.3700,131.4500,133.2600,133.1641,692040,0.0000,1.0000
2019-02-26,134.9100,135.3100,133.5100,133.6300,133.5338,630407,0.0000,1.0000
2019-02-25,136.4400,137.1924,134.3700,134.4000,134.3033,743258,0.0000,1.0000
2019-02-22,134.9200,136.5200,134.4750,136.0400,135.9421,860562,0.0000,1.0000
2019-02-21,134.7900,135.0200,133.8000,134.5500,134.4532,527836,0.0000,1.0000
2019-02-20,135.1800,135.2300,134.2300,134.3200,134.2233,437282,0.0000,1.0000
2019-02-19,134.9400,135.7900,134.4900,135.2700,135.1726,638452,0.0000,1.0000
2019-02-15,134.7900,135.9000,134.3550,135.5300,135.4324,651285,0.0000,1.0000
2019-02-14,133.4900,134.4000,132.1300,133.7300,133.6337,654739,0.0000,1.0000
2019-02-13,134.0200,134.5800,133.1300,134.1100,134.0135,502459,0.0000,1.0000
2019-02-12,133.1300,133.8900,132.4500,133.3500,133.2540,470704,0.0000,1.0000
2019-02-11,131.5800,133.0300,130.6800,132.7000,132.6045,423370,0.0000,1.0000
2019-02-08,132.5000,132.5300,129.5600,131.4900,131.3954,707965,0.0000,1.0000
2019-02-07,134.6900,135.2200,132.8200,132.9400,132.8443,731467,0.0000,1.0000
2019-02-06,134.4400,135.3250,133.7856,135.0600,134.9628,420597,0.0000,1.0000
2019-02-05,135.0500,136.5100,134.3500,134.9100,134.8129,601409,0.0000,1.0000
2019-02-04,135.2100,135.3700,133.8800,134.6800,134.5831,499860,0.0000,1.0000
2019-02-01,132.7400,135.6700,132.0600,135.5300,135.4324,746069,0.0000,1.0000
2019-01-31,132.9200,133.6400,132.3400,132.5300,132.4346,580758,0.0000,1.0000
2019-01-30,132.7400,133.5900,132.0900,133.0200,132.9243,707601,0.0000,1.0000
2019-01-29,131.3000,132.7900,130.6800,132.5600,132.4646,413237,0.0000,1.0000
2019-01-28,130.5500,130.6440,129.1200,130.4300,130.3361,526109,0.0000,1.0000
2019-01-25,130.8400,131.7700,130.0800,131.1400,131.0456,406659,0.0000,1.0000
2019-01-24,130.4200,130.7500,129.3200,129.8300,129.7366,549629,0.0000,1.0000
2019-01-23,131.0600,132.3500,129.1900,130.4400,130.3461,797525,0.0000,1.0000
2019-01-22,131.0100,131.0100,128.7300,130.6100,130.5160,568110,0.0000,1.0000
2019-01-18,131.1000,132.2500,130.4300,131.9700,131.8750,570951,0.0000,1.0000
2019-01-17,129.1600,131.1200,128.9700,130.5200,130.4261,703539,0.0000,1.0000
2019-01-16,127.4300,131.1200,126.2800,129.6400,129.5467,975579,0.0000,1.0000
2019-01-15,125.1000,127.6900,124.5100,127.0300,126.9386,702311,0.0000,1.0000
2019-01-14,125.0600,127.7800,124.4400,125.2500,125.1598,1027038,0.0000,1.0000
2019-01-11,125.2300,126.4500,124.8000,125.7300,125.6395,817637,0.0000,1.0000
2019-01-10,124.1000,125.8700,123.3200,125.6700,125.5795,577257,0.0000,1.0000
2019-01-09,122.7900,124.9900,122.2700,124.3100,124.2205,700564,0.0000,1.0000
2019-01-08,119.8400,122.0800,118.9200,122.0000,121.9122,796581,0.0000,1.0000
2019-01-07,118.5600,119.3700,117.6600,118.3000,118.2148,1028649,0.0000,1.0000
2019-01-04,117.3000,118.6400,116.4100,118.5600,118.4747,983044,0.0000,1.0000
2019-01-03,117.7600,119.3950,115.7000,115.9800,115.8965,834174,0.0000,1.0000
2019-01-02,115.3000,117.6800,114.8500,117.4400,117.3555,731175,0.0000,1.0000
2018-12-31,116.8600,117.4000,115.1900,116.5600,116.4761,623089,0.0000,1.0000
2018-12-28,116.8600,117.5700,115.8000,116.2000,116.1164,683247,0.0000,1.0000
2018-12-27,115.9800,116.7100,112.7900,116.7000,116.6160,827005,0.0000,1.0000
2018-12-26,113.6800,117.5700,112.8000,117.4300,117.3455,967854,0.0000,1.0000
2018-12-24,113.8700,114.9800,112.8500,113.4200,113.3384,383281,0.0000,1.0000
2018-12-21,115.6000,117.4400,113.9600,114.5200,114.4376,1766949,0.0000,1.0000
2018-12-20,115.2600,117.6400,114.9100,115.3700,115.2870,1127376,0.0000,1.0000
2018-12-19,119.9900,120.2200,115.4350,116.0600,115.9765,1198095,0.0000,1.0000
2018-12-18,120.1000,122.7700,119.0500,119.7000,119.6138,996163,0.0000,1.0000
2018-12-17,118.5000,120.2300,115.3650,118.4900,118.4047,1802223,0.0000,1.0000
2018-12-14,129.6600,130.1600,120.3400,121.1500,121.0628,1396396,0.0000,1.0000
2018-12-13,131.2100,132.4100,129.7700,131.9700,131.8750,702605,0.0000,1.0000
2018-12-12,130.6300,133.4500,130.6300,131.2700,131.1755,1286557,0.0000,1.0000
2018-12-11,127.9700,130.1800,127.4800,129.0700,128.9771,960135,0.0000,1.0000
2018-12-10,126.3900,127.9400,122.6350,127.3200,127.2284,879390,0.0000,1.0000
2018-12-07,131.2400,131.8800,125.7000,126.2200,126.1291,1357240,0.0000,1.0000
2018-12-06,133.5700,133.5700,127.6800,131.6400,131.5452,1127789,0.0000,1.0000
2018-12-04,137.0000,138.4700,133.2805,134.5900,134.4931,868507,0.0000,1.0000
2018-12-03,139.1300,139.6300,136.3900,136.9800,136.8814,741636,0.0000,1.0000
2018-11-30,138.1300,138.9800,136.4900,137.9900,137.8907,1216289,0.1000,1.0000
2018-11-29,134.5500,138.8400,134.3100,137.8600,137.6610,745546,0.0000,1.0000
2018-11-28,133.5000,135.1700,132.8500,135.1100,134.9150,833572,0.0000,1.0000
2018-11-27,131.7000,132.8400,130.7500,132.6900,132.4985,1028683,0.0000,1.0000
2018-11-26,132.8200,134.0500,131.4100,132.2500,132.0591,653264,0.0000,1.0000
2018-11-23,130.0500,132.2200,129.2500,131.8400,131.6497,306482,0.0000,1.0000
2018-11-21,130.1000,131.9200,129.8400,130.6800,130.4914,775115,0.0000,1.0000
2018-11-20,130.4900,132.1000,129.7800,130.1000,129.9122,724822,0.0000,1.0000
2018-11-19,133.0200,135.0300,130.6200,131.1000,130.9108,1195097,0.0000,1.0000
2018-11-16,128.3900,133.1400,127.7900,133.0000,132.8080,1223950,0.0000,1.0000
2018-11-15,126.3800,129.0300,125.2100,128.0100,127.8252,825766,0.0000,1.0000
2018-11-14,128.7200,128.9200,126.6400,127.2900,127.1063,496493,0.0000,1.0000
2018-11-13,130.7400,130.8500,126.4000,127.8500,127.6655,682257,0.0000,1.0000
2018-11-12,131.3600,132.1900,129.8700,130.0800,129.8922,552626,0.0000,1.0000
2018-11-09,130.1100,132.0300,130.1100,131.4900,131.3002,541265,0.0000,1.0000
2018-11-08,129.6300,130.7100,128.9600,130.2500,130.0620,571516,0.0000,1.0000
2018-11-07,127.0000,129.7300,126.8100,129.4900,129.3031,678842,0.0000,1.0000
2018-11-06,123.8400,126.4300,123.5300,125.9400,125.7582,675750,0.0000,1.0000
2018-11-05,123.7500,124.9200,122.9800,124.1000,123.9209,419037,0.0000,1.0000
2018-11-02,123.8600,125.6650,122.2600,123.4600,123.2818,614091,0.0000,1.0000
2018-11-01,122.4500,124.1800,121.8300,123.4900,123.3118,606729,0.0000,1.0000
2018-10-31,121.2700,122.7500,121.0700,121.5600,121.3845,890989,0.0000,1.0000
2018-10-30,119.0600,121.0600,117.1000,120.8400,120.6656,1097426,0.0000,1.0000
2018-10-29,115.9500,119.1100,115.9400,118.7500,118.5786,1598137,0.0000,1.0000
2018-10-26,120.9400,123.4700,115.0500,115.6100,115.4431,1469595,0.0000,1.0000
2018-10-25,122.0600,123.7500,121.4500,121.5500,121.3746,743311,0.0000,1.0000
2018-10-24,125.1100,126.9800,121.9000,122.0200,121.8439,702282,0.0000,1.0000
2018-10-23,124.6700,125.9200,121.9000,125.5500,125.3688,1046533,0.0000,1.0000
2018-10-22,125.9100,127.2500,124.9000,126.1900,126.0079,1197050,0.0000,1.0000
2018-10-19,126.7200,127.5000,125.0400,125.7900,125.6084,757985,0.0000,1.0000
2018-10-18,126.0500,128.1700,125.6150,126.3800,126.1976,924574,0.0000,1.0000
2018-10-17,124.9400,126.2200,123.3900,125.6400,125.4586,490559,0.0000,1.0000
2018-10-16,123.1900,124.9700,121.8950,124.6200,124.4401,553988,0.0000,1.0000
2018-10-15,122.1300,123.7000,121.9500,122.9100,122.7326,560812,0.0000,1.0000
2018-10-12,121.7800,122.8600,120.8900,122.5400,122.3631,919022,0.0000,1.0000
2018-10-11,125.8600,125.9600,120.7300,120.8500,120.6756,929531,0.0000,1.0000
2018-10-10,127.8200,128.8300,125.7900,125.8600,125.6783,848656,0.0000,1.0000
2018-10-09,126.3700,128.0900,125.9100,127.5700,127.3859,401727,0.0000,1.0000
2018-10-08,125.0800,126.7300,124.3500,126.3300,126.1477,354117,0.0000,1.0000
2018-10-05,125.5300,126.8550,124.7700,125.3000,125.1191,406217,0.0000,1.0000
2018-10-04,124.9200,125.8800,124.7500,125.1100,124.9294,399875,0.0000,1.0000
2018-10-03,126.0400,126.1300,124.8700,124.9700,124.7896,813104,0.0000,1.0000
2018-10-02,128.8100,128.8200,125.2900,125.5000,125.3188,584349,0.0000,1.0000
2018-10-01,128.8600,129.0400,128.0500,128.6900,128.5042,493485,0.0000,1.0000
2018-09-28,125.9900,127.9200,125.6500,127.8400,127.6555,877365,0.0000,1.0000
2018-09-27,126.5400,128.3800,126.0900,126.3300,126.1477,426843,0.0000,1.0000
2018-09-26,125.9900,127.3250,124.8200,126.3600,126.1776,538543,0.0000,1.0000
2018-09-25,126.9200,127.2400,125.3900,125.9900,125.8081,407369,0.0000,1.0000
2018-09-24,126.7000,127.1000,125.3600,127.0100,126.8267,384712,0.0000,1.0000
2018-09-21,126.8000,128.0900,126.3200,126.7400,126.5571,726337,0.0000,1.0000
2018-09-20,126.7500,127.0400,125.9100,126.7500,126.5670,470612,0.0000,1.0000
2018-09-19,127.5000,127.5000,126.0300,126.1500,125.9679,554501,0.0000,1.0000
2018-09-18,128.5200,132.6400,127.6100,127.7700,127.5856,1215000,0.0000,1.0000
2018-09-17,126.1800,126.1800,124.9050,126.0300,125.8481,450512,0.0000,1.0000
2018-09-14,126.1700,127.1200,125.7600,125.8600,125.6783,488630,0.0000,1.0000
2018-09-13,124.6100,126.1300,124.2700,126.0100,125.8281,807168,0.0000,1.0000
2018-09-12,123.9900,124.4000,123.0500,124.0400,123.8610,557415,0.0000,1.0000
2018-09-11,125.1500,125.4500,123.8300,123.9500,123.7711,692585,0.0000,1.0000
2018-09-10,127.2900,127.2900,125.1400,125.3800,125.1990,623785,0.0000,1.0000
2018-09-07,126.4500,127.3300,125.7600,126.9200,126.7368,555001,0.0000,1.0000
2018-09-06,127.3200,127.5500,125.7200,126.7200,126.5371,555046,0.0000,1.0000
2018-09-05,128.1500,128.1800,126.1800,127.1100,126.9265,545639,0.0000,1.0000
