timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,232.8400,233.9038,227.1800,231.9500,231.9500,4323061,0.0000,1.0000
2019-05-02,230.9000,233.3400,228.0800,232.4500,232.4500,5499206,0.0000,1.0000
2019-05-01,233.0700,234.6200,230.3501,231.9500,231.9500,4823160,0.0000,1.0000
2019-04-30,238.0800,238.0800,230.1900,233.0700,233.0700,7632279,0.0000,1.0000
2019-04-29,237.4000,238.0600,234.1600,237.4500,237.4500,5345317,0.0000,1.0000
2019-04-26,232.1400,237.1100,231.1900,237.0000,237.0000,6186619,0.0000,1.0000
2019-04-25,228.5300,232.1200,228.1300,230.7900,230.7900,5954533,0.0000,1.0000
2019-04-24,230.0900,231.6300,227.7500,230.3500,230.3500,6104122,0.0000,1.0000
2019-04-23,228.2500,231.9400,226.1000,230.5800,230.5800,10261445,0.0000,1.0000
2019-04-22,224.0000,227.5600,221.5000,227.1100,227.1100,11191845,0.0000,1.0000
2019-04-18,217.1400,223.0000,214.2100,221.7500,221.7500,13927214,0.0000,1.0000
2019-04-17,223.7900,224.2368,208.0700,216.8400,216.8400,22101404,0.0000,1.0000
2019-04-16,238.0100,238.0100,215.8200,220.9600,220.9600,27361432,0.0000,1.0000
2019-04-15,225.7700,230.9700,224.4100,230.2000,230.2000,10021785,0.0000,1.0000
2019-04-12,236.5000,236.7800,220.7700,223.2200,223.2200,13979434,0.0000,1.0000
2019-04-11,246.0500,246.9200,232.6810,235.4200,235.4200,8223350,0.0000,1.0000
2019-04-10,248.7800,249.8700,245.5200,246.0300,246.0300,2753784,0.0000,1.0000
2019-04-09,247.5700,249.9400,245.9500,248.7900,248.7900,2904072,0.0000,1.0000
2019-04-08,249.6800,249.6800,246.3100,248.7500,248.7500,2195490,0.0000,1.0000
2019-04-05,248.9500,249.3100,245.1700,248.7800,248.7800,3343112,0.0000,1.0000
2019-04-04,245.4800,249.1100,244.6400,247.3900,247.3900,2255521,0.0000,1.0000
2019-04-03,246.3100,247.5400,244.5900,245.8400,245.8400,2851456,0.0000,1.0000
2019-04-02,245.5100,246.4000,242.8000,244.4100,244.4100,4057091,0.0000,1.0000
2019-04-01,249.7100,250.2000,243.0598,245.5400,245.5400,4809459,0.0000,1.0000
2019-03-29,244.2900,247.7600,241.8700,247.2600,247.2600,4294167,0.0000,1.0000
2019-03-28,242.5900,242.8500,238.8850,242.2300,242.2300,3601531,0.0000,1.0000
2019-03-27,242.9400,245.6800,238.1600,241.7100,241.7100,4819232,0.0000,1.0000
2019-03-26,247.2600,247.8900,241.7200,243.3900,243.3900,4416183,0.0000,1.0000
2019-03-25,247.4200,247.4200,240.7800,246.8600,246.8600,4110942,0.0000,1.0000
2019-03-22,250.5700,251.1950,246.9900,247.0900,247.0900,3778238,0.0000,1.0000
2019-03-21,249.1900,252.9600,248.6600,252.0200,252.0200,2699799,0.0000,1.0000
2019-03-20,257.4300,257.6900,249.9700,250.5000,250.5000,4193496,0.0000,1.0000
2019-03-19,255.9500,259.2488,255.1400,257.1300,257.1300,4164789,0.0000,1.0000
2019-03-18,252.6600,255.3100,250.4200,255.0000,255.0000,3927379,0.0000,1.0000
2019-03-15,254.3400,254.7400,249.9400,251.4000,251.4000,6466186,0.0000,1.0000
2019-03-14,253.0000,255.0568,252.3400,253.2700,253.2700,3865160,0.0000,1.0000
2019-03-13,247.9600,252.7600,247.0800,252.2500,252.2500,4882034,0.0000,1.0000
2019-03-12,244.9500,247.4800,243.7400,245.8800,245.8800,4235832,0.0000,1.0000
2019-03-11,239.2100,244.0200,236.4150,243.1500,243.1500,4539618,0.0000,1.0000
2019-03-08,235.1500,239.4100,234.6350,237.2900,237.2900,4921739,0.9000,1.0000
2019-03-07,240.3000,241.1800,235.5500,236.7000,235.8056,5033537,0.0000,1.0000
2019-03-06,241.7400,241.7400,237.0300,239.0700,238.1667,4878747,0.0000,1.0000
2019-03-05,236.5300,243.2024,234.9403,241.4300,240.5178,6924867,0.0000,1.0000
2019-03-04,248.1200,248.4500,234.5100,236.0200,235.1282,8646329,0.0000,1.0000
2019-03-01,243.5600,248.0000,243.5600,246.1500,245.2199,6921274,0.0000,1.0000
2019-02-28,249.7000,251.9500,239.1500,242.2200,241.3048,11034345,0.0000,1.0000
2019-02-27,261.6100,261.6100,248.9369,250.0800,249.1351,8952928,0.0000,1.0000
2019-02-26,264.6600,265.4250,262.8000,262.9800,261.9863,3212929,0.0000,1.0000
2019-02-25,267.5800,268.1700,264.3800,264.6000,263.6002,3679125,0.0000,1.0000
2019-02-22,266.5000,268.3900,265.9500,267.1100,266.1007,3191090,0.0000,1.0000
2019-02-21,269.4700,269.9400,265.1000,266.4000,265.3934,2554273,0.0000,1.0000
2019-02-20,269.2100,270.5900,268.1800,269.5100,268.4917,2802803,0.0000,1.0000
2019-02-19,271.1700,272.4900,269.2800,270.4100,269.3883,2486689,0.0000,1.0000
2019-02-15,267.7900,271.1300,266.6200,271.1300,270.1055,3673690,0.0000,1.0000
2019-02-14,263.2400,267.0700,262.7100,265.3300,264.3275,3015655,0.0000,1.0000
2019-02-13,263.5200,266.2900,263.1500,263.8000,262.8032,3066743,0.0000,1.0000
2019-02-12,259.2200,264.0000,256.9200,263.5000,262.5044,4327961,0.0000,1.0000
2019-02-11,261.1700,261.1800,256.3400,257.1400,256.1684,4856174,0.0000,1.0000
2019-02-08,267.5000,268.6999,260.3200,261.9000,260.9104,4547448,0.0000,1.0000
2019-02-07,268.6400,270.5800,267.2572,269.0000,267.9836,2458498,0.0000,1.0000
2019-02-06,265.1400,269.9300,264.9800,269.5000,268.4817,2569965,0.0000,1.0000
2019-02-05,270.1200,272.0900,265.8400,266.3100,265.3037,3597224,0.0000,1.0000
2019-02-04,268.3100,268.6900,264.2700,268.2100,267.1966,3398925,0.0000,1.0000
2019-02-01,268.4700,269.3885,266.0300,268.7200,267.7046,3946753,0.0000,1.0000
2019-01-31,270.4800,271.7350,268.9900,270.2000,269.1791,4055122,0.0000,1.0000
2019-01-30,269.6900,272.4351,267.1900,270.3700,269.3484,3659233,0.0000,1.0000
2019-01-29,266.0000,268.4500,265.4400,267.3400,266.3299,2173024,0.0000,1.0000
2019-01-28,266.9000,266.9300,264.6100,266.7700,265.7620,2837679,0.0000,1.0000
2019-01-25,268.8000,270.4100,265.7000,268.0500,267.0372,2809188,0.0000,1.0000
2019-01-24,266.8000,268.1600,264.2600,266.1300,265.1244,2927350,0.0000,1.0000
