timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,106.1400,106.9500,105.3200,106.6500,106.6500,3107506,0.0000,1.0000
2019-05-02,104.6200,106.0300,104.1000,105.5100,105.5100,2589777,0.0000,1.0000
2019-05-01,106.0600,106.5000,104.2600,104.6200,104.6200,2615332,0.0000,1.0000
2019-04-30,104.6800,106.4200,103.3100,106.2200,106.2200,5101373,0.0000,1.0000
2019-04-29,104.0100,104.9700,103.0200,104.8400,104.8400,4551027,0.0000,1.0000
2019-04-26,104.9100,105.0200,103.2000,103.9500,103.9500,5421764,0.0000,1.0000
2019-04-25,109.5900,109.8840,104.2000,105.1300,105.1300,10116646,0.0000,1.0000
2019-04-24,113.6000,114.9800,113.4500,114.4300,114.4300,3570644,0.0000,1.0000
2019-04-23,113.3400,114.0500,112.8201,113.6000,113.6000,2851332,0.0000,1.0000
2019-04-22,113.5800,113.8600,112.8600,113.6200,113.6200,2585493,0.0000,1.0000
2019-04-18,114.5300,114.7150,114.0700,114.1500,114.1500,1859667,0.0000,1.0000
2019-04-17,114.4200,114.7150,113.8100,114.4900,114.4900,2108367,0.0000,1.0000
2019-04-16,113.6900,114.1500,113.3900,113.9400,113.9400,2072514,0.0000,1.0000
2019-04-15,114.7200,114.9100,113.2200,113.6400,113.6400,1768302,0.0000,1.0000
2019-04-12,113.9400,114.8840,113.4550,114.4600,114.4600,2853767,0.0000,1.0000
2019-04-11,113.2000,113.7300,112.8800,113.4900,113.4900,2384755,0.0000,1.0000
2019-04-10,113.1700,113.2700,112.3100,113.0800,113.0800,1767657,0.0000,1.0000
2019-04-09,113.0700,113.2700,112.4086,112.9100,112.9100,2230051,0.0000,1.0000
2019-04-08,113.7300,114.0600,113.3200,113.9700,113.9700,1854580,0.0000,1.0000
2019-04-05,114.1600,114.9100,114.0400,114.3300,114.3300,2487410,0.0000,1.0000
2019-04-04,114.3000,114.5700,113.4900,113.9700,113.9700,2889431,0.0000,1.0000
2019-04-03,114.5000,115.0300,113.8800,114.3500,114.3500,2556646,0.0000,1.0000
2019-04-02,114.3800,114.5500,113.1100,113.6800,113.6800,2456380,0.0000,1.0000
2019-04-01,113.1900,114.7800,112.9000,114.4300,114.4300,3721746,0.0000,1.0000
2019-03-29,111.0000,112.0319,110.9300,111.7400,111.7400,3428646,0.0000,1.0000
2019-03-28,109.3100,110.4100,109.0200,110.3000,110.3000,1621022,0.0000,1.0000
2019-03-27,108.5000,109.1388,108.1601,108.9800,108.9800,1911333,0.0000,1.0000
2019-03-26,107.6900,108.7900,107.2800,108.4100,108.4100,2204468,0.0000,1.0000
2019-03-25,107.0700,107.4600,106.3400,106.9000,106.9000,2088191,0.0000,1.0000
2019-03-22,109.2700,109.5850,107.3000,107.3500,107.3500,2727867,0.0000,1.0000
2019-03-21,107.2700,109.9700,106.9300,109.8000,109.8000,1820318,0.0000,1.0000
2019-03-20,108.3300,109.0000,106.5000,107.9200,107.9200,4199058,0.0000,1.0000
2019-03-19,110.8000,111.0200,110.1100,110.3500,110.3500,2940813,0.0000,1.0000
2019-03-18,109.5500,110.8700,109.5000,110.6900,110.6900,2394675,0.0000,1.0000
2019-03-15,110.8500,111.2500,109.4200,109.5200,109.5200,4874437,0.0000,1.0000
2019-03-14,111.1600,111.1800,110.0800,110.8800,110.8800,2539575,0.0000,1.0000
2019-03-13,109.7200,111.7300,109.5800,110.8600,110.8600,3323786,0.0000,1.0000
2019-03-12,109.0800,109.8400,108.6200,109.0100,109.0100,2549594,0.0000,1.0000
2019-03-11,106.8700,108.9200,106.7900,108.8300,108.8300,2963374,0.0000,1.0000
2019-03-08,106.1900,106.7300,104.9401,106.6800,106.6800,2648883,0.0000,1.0000
2019-03-07,108.6500,109.0300,106.2200,106.8600,106.8600,3979948,0.0000,1.0000
2019-03-06,109.8300,110.0100,108.3300,108.8500,108.8500,2679533,0.0000,1.0000
2019-03-05,109.8900,110.8500,109.0100,109.9700,109.9700,3150966,0.0000,1.0000
2019-03-04,112.7200,112.9000,109.8100,110.4800,110.4800,2731050,0.0000,1.0000
2019-03-01,110.9400,112.3700,110.3500,112.1300,112.1300,3904160,0.0000,1.0000
2019-02-28,110.7400,111.0900,109.9900,110.2000,110.2000,2843575,0.0000,1.0000
2019-02-27,110.9300,111.2000,110.4196,111.1300,111.1300,2620930,0.0000,1.0000
2019-02-26,110.7200,111.9000,110.6700,111.0400,111.0400,2927654,0.0000,1.0000
2019-02-25,109.9000,111.2300,109.6500,110.8600,110.8600,3112674,0.9600,1.0000
2019-02-22,111.8900,111.8900,107.8500,110.3600,109.4125,4084975,0.0000,1.0000
2019-02-21,110.7700,112.2800,110.7100,111.7600,110.8005,2260051,0.0000,1.0000
2019-02-20,110.9300,111.1600,110.4000,111.0700,110.1164,3346687,0.0000,1.0000
2019-02-19,110.9000,111.7500,110.1650,110.7700,109.8190,2658706,0.0000,1.0000
2019-02-15,110.9300,111.9500,109.6150,110.8700,109.9182,4273403,0.0000,1.0000
2019-02-14,111.4100,112.1700,110.6070,111.8000,110.8402,2359424,0.0000,1.0000
2019-02-13,111.0000,112.0600,110.4800,112.0100,111.0484,2731606,0.0000,1.0000
2019-02-12,109.5600,110.7900,109.5600,110.6600,109.7100,2881875,0.0000,1.0000
2019-02-11,108.2100,109.0200,107.8900,108.9300,107.9948,2765281,0.0000,1.0000
2019-02-08,107.3900,108.1200,106.7400,108.1000,107.1719,2951012,0.0000,1.0000
2019-02-07,108.3500,108.9450,107.3900,107.9400,107.0133,3395683,0.0000,1.0000
2019-02-06,107.4500,108.8400,107.1700,108.8200,107.8858,4490558,0.0000,1.0000
2019-02-05,106.8100,107.7100,106.0400,107.6600,106.7357,3690385,0.0000,1.0000
2019-02-04,106.0000,106.5900,105.4200,106.5800,105.6650,3184663,0.0000,1.0000
2019-02-01,105.7200,106.5000,105.2600,106.0900,105.1792,3526127,0.0000,1.0000
2019-01-31,105.5000,108.0000,102.7500,105.4000,104.4951,7327400,0.0000,1.0000
2019-01-30,101.8900,102.0500,100.2500,101.1900,100.3213,4013005,0.0000,1.0000
2019-01-29,100.3700,101.3300,99.7800,101.3000,100.4303,2209103,0.0000,1.0000
2019-01-28,99.8700,100.6200,98.9100,100.3300,99.4686,3126239,0.0000,1.0000
2019-01-25,100.7000,101.7400,100.0000,100.8300,99.9644,3445551,0.0000,1.0000
2019-01-24,100.3600,100.6400,98.8300,99.7000,98.8441,2807393,0.0000,1.0000
2019-01-23,103.0400,103.1300,99.2400,100.9200,100.0536,4573263,0.0000,1.0000
2019-01-22,101.5000,103.0000,101.1500,102.6800,101.7985,5594315,0.0000,1.0000
2019-01-18,100.4300,101.8700,100.1100,101.6000,100.7277,4249091,0.0000,1.0000
2019-01-17,96.9500,99.6500,96.8000,99.5800,98.7251,4004283,0.0000,1.0000
2019-01-16,97.9000,98.9500,96.8650,96.9900,96.1573,4463447,0.0000,1.0000
2019-01-15,99.1400,99.1400,96.8150,97.5600,96.7224,4777103,0.0000,1.0000
2019-01-14,97.3300,99.6500,96.6300,99.1400,98.2889,4731266,0.0000,1.0000
2019-01-11,98.2900,98.9600,97.3100,97.9100,97.0694,5282804,0.0000,1.0000
2019-01-10,97.4000,99.1400,96.8500,98.9100,98.0608,2432217,0.0000,1.0000
2019-01-09,97.5900,98.3300,97.1600,97.9200,97.0793,3678230,0.0000,1.0000
2019-01-08,98.4600,99.1100,96.5300,97.4200,96.5836,3034282,0.0000,1.0000
2019-01-07,97.4800,98.1535,96.1810,97.4100,96.5737,3795650,0.0000,1.0000
2019-01-04,96.1900,97.9300,95.8300,97.7400,96.9009,3347302,0.0000,1.0000
2019-01-03,96.4700,96.6475,94.1900,94.4500,93.6391,2705032,0.0000,1.0000
2019-01-02,96.1200,97.3600,95.7800,97.2100,96.3754,3297520,0.0000,1.0000
2018-12-31,96.8600,97.5600,96.4400,97.5300,96.6927,2656670,0.0000,1.0000
2018-12-28,98.1800,98.8200,96.1400,96.5300,95.7013,2972183,0.0000,1.0000
2018-12-27,95.2400,97.7800,94.0800,97.7800,96.9405,4335543,0.0000,1.0000
2018-12-26,90.8300,96.7800,89.9400,96.6100,95.7806,6259428,0.0000,1.0000
2018-12-24,93.0300,93.3500,89.8900,89.8900,89.1183,2728294,0.0000,1.0000
2018-12-21,93.5500,95.2800,93.1600,93.5000,92.6973,7889446,0.0000,1.0000
2018-12-20,94.4800,95.7800,92.6900,93.9400,93.1335,5200005,0.0000,1.0000
2018-12-19,93.7100,98.5500,93.2600,94.3200,93.5102,6326045,0.0000,1.0000
2018-12-18,97.8800,99.0700,96.7010,97.2800,96.4448,3404718,0.0000,1.0000
2018-12-17,98.4000,98.8300,96.3600,96.8700,96.0383,4649236,0.0000,1.0000
2018-12-14,99.8700,100.0400,97.5400,98.6600,97.8130,4532224,0.0000,1.0000
2018-12-13,101.3300,101.8450,99.7500,100.7800,99.9148,3490501,0.0000,1.0000
2018-12-12,104.6700,104.9000,101.1650,101.2100,100.3411,4453652,0.0000,1.0000
2018-12-11,105.7800,106.4000,102.2800,103.5800,102.6907,2382552,0.0000,1.0000
2018-12-10,104.6600,105.4900,100.8900,104.4000,103.5037,3993358,0.0000,1.0000
2018-12-07,108.0300,109.3400,104.4700,105.3200,104.4158,3172275,0.0000,1.0000
2018-12-06,106.1400,108.1000,105.3800,108.0400,107.1125,4269562,0.0000,1.0000
2018-12-04,113.6000,113.7800,105.8500,106.7700,105.8534,6865946,0.0000,1.0000
2018-12-03,116.6200,117.2850,113.7750,115.2700,114.2804,3529800,0.0000,1.0000
2018-11-30,113.7400,115.4400,113.1900,115.2900,114.3002,3564276,0.0000,1.0000
2018-11-29,113.1100,113.9300,112.3600,113.2600,112.2876,1998429,0.0000,1.0000
2018-11-28,111.6400,113.6200,110.9300,113.5500,112.5751,2321990,0.0000,1.0000
2018-11-27,110.1100,111.5600,109.6250,111.5100,110.5527,1933798,0.0000,1.0000
2018-11-26,109.9100,110.9200,109.0400,110.6400,109.6901,3400412,0.0000,1.0000
2018-11-23,108.8300,109.9800,108.2501,108.6900,107.7569,835857,0.0000,1.0000
2018-11-21,109.0000,109.7100,108.4918,108.7700,107.8362,1660601,0.0000,1.0000
2018-11-20,110.2900,110.7950,108.0300,108.5100,107.5784,3485404,0.0000,1.0000
2018-11-19,110.1100,111.9100,109.8900,111.2900,110.3346,2932485,0.0000,1.0000
2018-11-16,109.4400,110.7900,108.8100,110.0900,109.1449,2583906,0.9100,1.0000
2018-11-15,108.9700,110.9900,107.4000,110.4500,108.6040,3304022,0.0000,1.0000
2018-11-14,110.4600,112.0700,108.3700,109.5000,107.6699,2964397,0.0000,1.0000
2018-11-13,108.0700,110.5200,108.0000,109.4000,107.5716,3578263,0.0000,1.0000
2018-11-12,109.7500,110.4500,107.4800,107.7200,105.9197,1810314,0.0000,1.0000
2018-11-09,111.8900,112.1300,109.2200,109.5100,107.6798,3377110,0.0000,1.0000
2018-11-08,110.8400,111.9500,110.7500,111.5000,109.6365,2566404,0.0000,1.0000
