timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,66.8500,66.9900,66.3950,66.4900,66.4900,1013186,0.0000,1.0000
2019-03-22,67.7400,68.1100,66.7100,66.8200,66.8200,1005354,0.0000,1.0000
2019-03-21,66.4900,67.7750,66.3850,67.5600,67.5600,1073440,0.0000,1.0000
2019-03-20,66.4300,66.9800,65.9075,66.5400,66.5400,816755,0.0000,1.0000
2019-03-19,67.1200,67.3200,66.2700,66.5700,66.5700,878914,0.0000,1.0000
2019-03-18,67.4500,67.6000,66.4900,66.8200,66.8200,915861,0.0000,1.0000
2019-03-15,68.4600,68.7400,67.1900,67.2900,67.2900,1774171,0.0000,1.0000
2019-03-14,69.2900,69.2900,68.4100,68.4600,68.4600,1149846,0.0000,1.0000
2019-03-13,69.2000,69.7100,69.0300,69.0800,69.0800,616120,0.0000,1.0000
2019-03-12,68.7500,69.4100,68.7500,69.1200,69.1200,586331,0.0000,1.0000
2019-03-11,67.8600,68.5700,67.5200,68.5500,68.5500,479445,0.0000,1.0000
2019-03-08,67.3800,68.0100,67.2300,67.6400,67.6400,581179,0.0000,1.0000
2019-03-07,68.0300,68.3000,67.1900,67.5900,67.5900,788135,0.0000,1.0000
2019-03-06,68.0500,68.6500,67.9200,67.9800,67.9800,572294,0.0000,1.0000
2019-03-05,67.4500,68.1000,67.3500,67.8900,67.8900,463885,0.0000,1.0000
2019-03-04,67.1800,67.6450,66.6600,67.5900,67.5900,786163,0.0000,1.0000
2019-03-01,67.3600,67.4700,66.1900,66.8300,66.8300,1126545,0.0000,1.0000
2019-02-28,66.8000,68.4100,66.7500,67.3100,67.3100,1540630,0.0000,1.0000
2019-02-27,67.2400,67.4100,66.3100,66.8800,66.8800,984321,0.0000,1.0000
2019-02-26,68.4200,68.4200,67.5300,67.5800,67.5800,760730,0.0000,1.0000
2019-02-25,69.1400,69.2400,68.2000,68.2500,68.2500,606814,0.0000,1.0000
2019-02-22,68.7500,69.3200,68.4100,68.8900,68.8900,535496,0.0000,1.0000
2019-02-21,67.8000,68.5100,67.3500,68.4200,68.4200,540157,0.0000,1.0000
2019-02-20,68.7600,68.7600,67.7200,67.9800,67.9800,1024049,0.0000,1.0000
2019-02-19,68.8500,69.0400,68.5800,68.7900,68.7900,1062491,0.0000,1.0000
2019-02-15,68.7400,68.8400,68.3800,68.8000,68.8000,1448447,0.0000,1.0000
2019-02-14,68.7700,68.8600,68.0600,68.2700,68.2700,818827,0.0000,1.0000
2019-02-13,68.5100,69.0700,68.2000,68.8900,68.8900,1177837,0.0000,1.0000
2019-02-12,68.8100,70.0850,68.3750,68.6000,68.6000,2039356,0.0000,1.0000
2019-02-11,69.9800,70.1700,69.5200,70.0700,70.0700,1569551,0.0000,1.0000
2019-02-08,69.7200,70.5400,69.5156,69.9000,69.9000,1372667,0.0000,1.0000
2019-02-07,69.5000,70.1700,69.1100,69.8500,69.8500,1377092,0.0000,1.0000
2019-02-06,70.4400,70.4400,69.6400,69.7600,69.7600,787844,0.0000,1.0000
2019-02-05,70.1900,70.5400,69.7400,70.5000,70.5000,1589486,0.0000,1.0000
2019-02-04,69.5000,70.2300,68.8150,70.2100,70.2100,937987,0.0000,1.0000
2019-02-01,69.9900,70.1200,68.1800,69.5600,69.5600,1502385,0.0000,1.0000
2019-01-31,68.5800,70.0500,68.2100,69.9100,69.9100,2029213,0.0000,1.0000
2019-01-30,67.3600,69.1600,67.3600,68.7500,68.7500,1142663,0.0000,1.0000
2019-01-29,67.0500,67.7500,66.9100,67.7200,67.7200,691811,0.0000,1.0000
2019-01-28,65.8900,67.2200,65.7100,67.1300,67.1300,924832,0.0000,1.0000
2019-01-25,65.2900,66.2100,65.0800,66.2000,66.2000,901786,0.6600,1.0000
2019-01-24,65.6100,65.9200,64.7100,65.7300,65.0812,979740,0.0000,1.0000
2019-01-23,66.1200,66.2000,65.3000,65.6300,64.9821,858548,0.0000,1.0000
2019-01-22,66.3100,66.5149,65.2400,66.0700,65.4178,979052,0.0000,1.0000
2019-01-18,65.5100,66.4200,65.2800,66.3900,65.7346,865105,0.0000,1.0000
2019-01-17,64.9600,65.6200,64.9000,65.3800,64.7346,716505,0.0000,1.0000
2019-01-16,64.4000,65.3350,64.4000,65.1700,64.5267,834722,0.0000,1.0000
2019-01-15,64.0800,64.5500,63.9200,64.4300,63.7940,709898,0.0000,1.0000
2019-01-14,64.8700,65.0400,63.9200,64.0200,63.3880,969343,0.0000,1.0000
2019-01-11,64.7300,65.2100,64.3150,65.1400,64.4970,681170,0.0000,1.0000
2019-01-10,63.9200,65.2500,63.6400,65.0300,64.3881,1237545,0.0000,1.0000
2019-01-09,64.1800,64.5100,63.5100,64.1100,63.4771,1113476,0.0000,1.0000
2019-01-08,62.6200,64.1000,62.5200,64.0200,63.3880,893271,0.0000,1.0000
2019-01-07,61.4600,62.8300,61.3300,62.3800,61.7642,882835,0.0000,1.0000
2019-01-04,60.5800,61.6400,60.4200,61.2100,60.6058,616542,0.0000,1.0000
2019-01-03,60.3800,61.3400,59.9500,60.2000,59.6057,931296,0.0000,1.0000
2019-01-02,61.5100,61.8500,59.9700,60.3600,59.7642,844523,0.0000,1.0000
2018-12-31,62.2200,62.4500,61.2200,62.0300,61.4177,905469,0.0000,1.0000
2018-12-28,62.3500,62.7700,61.2500,62.1100,61.4969,863335,0.0000,1.0000
2018-12-27,61.6600,61.9400,60.0100,61.8500,61.2395,1087037,0.0000,1.0000
2018-12-26,60.3500,62.2100,59.4800,62.2000,61.5860,973674,0.0000,1.0000
