timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,181.0300,182.1950,179.6038,181.2700,181.2700,469505,0.0000,1.0000
2019-03-22,184.3300,185.3900,181.4900,181.6700,181.6700,432011,0.0000,1.0000
2019-03-21,181.5100,185.7500,181.5000,185.3800,185.3800,502257,0.0000,1.0000
2019-03-20,182.0800,183.4000,181.2100,181.8500,181.8500,703041,0.0000,1.0000
2019-03-19,181.8100,182.9650,180.4100,182.3000,182.3000,1032879,0.0000,1.0000
2019-03-18,181.6300,182.6750,179.4250,180.9100,180.9100,489287,0.0000,1.0000
2019-03-15,181.5200,183.4300,180.8600,181.6200,181.6200,1226009,0.0000,1.0000
2019-03-14,180.8600,181.5550,180.0000,181.4300,181.4300,712847,0.0000,1.0000
2019-03-13,181.0600,182.4100,180.0900,180.4800,180.4800,595578,0.0000,1.0000
2019-03-12,179.8500,181.2500,178.4400,180.5000,180.5000,608777,0.0000,1.0000
2019-03-11,178.2900,179.7000,177.7500,179.0700,179.0700,397098,0.0000,1.0000
2019-03-08,175.5700,177.8100,173.8400,177.7300,177.7300,411950,0.0000,1.0000
2019-03-07,176.7500,178.0800,175.9600,177.4900,177.4900,581323,0.0000,1.0000
2019-03-06,177.6000,178.8400,176.4700,176.7400,176.7400,576152,0.0000,1.0000
2019-03-05,176.9800,178.1900,175.6300,177.7900,177.7900,541528,0.0000,1.0000
2019-03-04,181.0800,181.7399,175.1500,176.8200,176.8200,506624,0.0000,1.0000
2019-03-01,178.9000,180.7925,178.0900,180.5000,180.5000,499581,0.0000,1.0000
2019-02-28,177.7600,178.9500,177.1100,178.0400,178.0400,671810,0.0000,1.0000
2019-02-27,177.4700,179.2200,176.7200,177.9000,177.9000,355344,0.0000,1.0000
2019-02-26,177.8800,178.6700,177.2700,178.2800,178.2800,437198,0.0000,1.0000
2019-02-25,179.8100,180.2100,177.8900,178.0800,178.0800,788290,0.0000,1.0000
2019-02-22,176.7600,178.9200,175.6900,178.7900,178.7900,509914,0.0000,1.0000
2019-02-21,176.0300,176.6200,174.4100,176.0000,176.0000,539413,0.0000,1.0000
2019-02-20,175.9800,176.7350,174.3500,176.0100,176.0100,613378,0.0000,1.0000
2019-02-19,175.1200,175.9300,174.8900,175.6800,175.6800,559022,0.0000,1.0000
2019-02-15,176.5800,176.5800,174.7200,175.4000,175.4000,546221,0.0000,1.0000
2019-02-14,173.6000,175.8500,173.6000,175.1100,175.1100,433499,0.0000,1.0000
2019-02-13,174.7100,175.3600,173.4300,174.2800,174.2800,713172,0.0000,1.0000
2019-02-12,171.9800,174.3700,171.1200,174.2900,174.2900,723393,0.0000,1.0000
2019-02-11,173.2700,174.7800,170.1000,170.5300,170.5300,698604,0.0000,1.0000
2019-02-08,174.0000,175.5500,171.5400,173.0900,173.0900,763616,0.0000,1.0000
2019-02-07,172.6800,173.6300,171.3479,173.0500,173.0500,633806,0.0000,1.0000
2019-02-06,173.5300,174.2100,172.3800,173.8900,173.8900,644772,0.0000,1.0000
2019-02-05,173.3300,174.1500,172.5200,173.7800,173.7800,683798,0.0000,1.0000
2019-02-04,170.8200,173.6890,170.5500,173.2900,173.2900,701462,0.0000,1.0000
2019-02-01,169.7300,170.9000,168.3200,170.5200,170.5200,685001,0.0000,1.0000
2019-01-31,168.4700,170.1733,167.4600,169.2700,169.2700,996106,0.0000,1.0000
2019-01-30,165.1200,168.8200,164.7900,168.2500,168.2500,449103,0.0000,1.0000
2019-01-29,166.4500,166.8800,163.7500,164.4100,164.4100,341325,0.0000,1.0000
2019-01-28,167.2900,167.5750,164.6742,166.1600,166.1600,594326,0.0000,1.0000
2019-01-25,164.9200,167.2100,164.1300,165.9600,165.9600,495950,0.0000,1.0000
2019-01-24,163.2000,163.9600,162.0600,163.4800,163.4800,614670,0.0000,1.0000
2019-01-23,163.2900,163.8900,161.5100,163.0900,163.0900,480693,0.0000,1.0000
2019-01-22,163.6200,165.2700,161.7100,163.0700,163.0700,637746,0.0000,1.0000
2019-01-18,164.7500,165.4200,162.9700,164.4400,164.4400,1077983,0.0000,1.0000
2019-01-17,160.6300,164.2200,159.6000,163.4200,163.4200,481705,0.0000,1.0000
2019-01-16,160.9900,162.3600,160.4800,161.6300,161.6300,876871,0.0000,1.0000
2019-01-15,157.9800,161.3900,157.9100,160.4500,160.4500,592430,0.0000,1.0000
2019-01-14,156.4200,158.8600,155.5600,157.0000,157.0000,596929,0.0000,1.0000
2019-01-11,156.8800,158.7350,156.3550,157.9300,157.9300,512600,0.0000,1.0000
