timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,128.6500,131.0400,128.4400,129.0700,129.0700,953562,0.0000,1.0000
2019-03-22,133.3800,133.7850,128.9200,129.0400,129.0400,964033,0.0000,1.0000
2019-03-21,130.7300,134.4400,130.7300,134.0100,134.0100,1534668,0.0000,1.0000
2019-03-20,131.9700,133.1300,129.8970,130.5000,130.5000,893501,0.0000,1.0000
2019-03-19,134.3100,135.9100,131.8100,132.2100,132.2100,869811,0.0000,1.0000
2019-03-18,133.0900,136.0300,133.0000,133.3100,133.3100,958110,0.0000,1.0000
2019-03-15,138.6500,139.2950,131.5100,133.1800,133.1800,2006220,0.0000,1.0000
2019-03-14,141.3100,141.9900,139.4700,140.0700,140.0700,726172,0.0000,1.0000
2019-03-13,141.5200,144.1700,140.6900,141.1000,141.1000,1256230,0.0000,1.0000
2019-03-12,137.4800,141.2400,137.0500,141.0100,141.0100,985785,0.0000,1.0000
2019-03-11,137.3400,139.2700,136.1900,136.6000,136.6000,541890,0.0000,1.0000
2019-03-08,137.0900,137.9900,135.7100,137.5500,137.5500,420118,0.0000,1.0000
2019-03-07,138.7500,139.5100,136.9200,137.4600,137.4600,590364,0.0000,1.0000
2019-03-06,141.4400,142.1600,138.7000,138.9100,138.9100,593995,0.0000,1.0000
2019-03-05,143.0000,143.7800,141.7800,141.9100,141.9100,574975,0.0000,1.0000
2019-03-04,141.6700,143.0000,141.2300,142.9500,142.9500,662321,0.0000,1.0000
2019-03-01,142.1600,142.7150,140.5500,141.3100,141.3100,517084,0.0000,1.0000
2019-02-28,141.4900,142.0400,139.1800,141.5100,141.5100,929718,1.1500,1.0000
2019-02-27,143.5200,144.7250,141.1200,142.9400,141.7877,640201,0.0000,1.0000
2019-02-26,144.0000,145.5000,142.7600,143.2800,142.1250,632819,0.0000,1.0000
2019-02-25,146.1500,146.8000,144.5100,144.6700,143.5038,789257,0.0000,1.0000
2019-02-22,143.7100,145.7000,143.0100,145.5800,144.4065,650308,0.0000,1.0000
2019-02-21,141.8300,144.2700,141.2100,142.8000,141.6489,601102,0.0000,1.0000
2019-02-20,141.5700,144.4400,140.8050,142.7000,141.5497,752071,0.0000,1.0000
2019-02-19,138.4700,142.2100,137.9789,141.5500,140.4089,658113,0.0000,1.0000
2019-02-15,138.5600,140.9500,137.5600,139.3600,138.2366,897177,0.0000,1.0000
