timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,116.3400,118.2500,114.9500,116.4500,116.4500,1262450,0.0000,1.0000
2019-03-22,120.0100,120.2562,116.0400,116.9100,116.9100,1706786,0.0000,1.0000
2019-03-21,117.8900,121.9300,117.2350,121.1400,121.1400,1465397,0.0000,1.0000
2019-03-20,117.3000,119.0000,116.4000,118.1400,118.1400,1798662,0.0000,1.0000
2019-03-19,116.8600,118.7000,116.2700,117.8200,117.8200,1476438,0.0000,1.0000
2019-03-18,115.7900,116.8200,114.5000,116.1500,116.1500,1749695,0.0000,1.0000
2019-03-15,117.1000,118.0200,115.6700,115.7900,115.7900,2201763,0.0000,1.0000
2019-03-14,117.0500,117.3400,114.7193,115.6400,115.6400,1592053,0.0000,1.0000
2019-03-13,117.5700,118.8700,116.8100,116.9900,116.9900,1185497,0.0000,1.0000
2019-03-12,120.1700,120.5300,116.7200,117.3500,117.3500,1839136,0.0000,1.0000
2019-03-11,120.1200,121.2200,118.6600,119.3700,119.3700,1293197,0.0000,1.0000
2019-03-08,117.1600,119.7500,116.3100,119.5900,119.5900,1242482,0.0000,1.0000
2019-03-07,123.1500,123.2384,117.9100,118.6700,118.6700,2331692,0.0000,1.0000
2019-03-06,124.8900,126.7200,123.5000,123.5500,123.5500,1453256,0.0000,1.0000
2019-03-05,125.9100,125.9100,123.1300,124.1400,124.1400,1389071,0.0000,1.0000
2019-03-04,125.7500,127.2700,124.3200,125.5700,125.5700,1870046,0.0000,1.0000
2019-03-01,128.0000,128.4100,124.2500,125.1200,125.1200,2215264,0.0000,1.0000
2019-02-28,127.5400,128.1347,125.7500,126.5400,126.5400,1943937,0.0000,1.0000
2019-02-27,130.1300,130.6900,127.4768,127.7100,127.7100,1700039,0.0000,1.0000
2019-02-26,128.7200,130.6600,128.3922,130.4500,130.4500,1643882,0.0000,1.0000
2019-02-25,133.3400,133.7300,129.0800,129.2000,129.2000,1944386,0.0000,1.0000
2019-02-22,130.1100,131.8700,129.4800,131.7500,131.7500,2904683,0.0000,1.0000
2019-02-21,129.3400,130.1100,126.5400,129.6300,129.6300,2071486,0.0000,1.0000
2019-02-20,128.3500,129.4300,128.0678,129.1800,129.1800,2036275,0.0000,1.0000
2019-02-19,125.2700,128.9300,124.8800,128.3600,128.3600,1732506,0.0000,1.0000
2019-02-15,122.8300,125.0000,121.5800,124.5100,124.5100,2478172,0.0000,1.0000
2019-02-14,124.4000,124.6500,119.2600,123.4300,123.4300,2837910,0.7500,1.0000
2019-02-13,126.5700,128.1200,126.5100,127.5500,126.7796,1099795,0.0000,1.0000
2019-02-12,125.3900,127.7700,125.1900,126.1300,125.3682,1924562,0.0000,1.0000
2019-02-11,125.6300,126.1800,123.0200,125.0000,124.2450,1314383,0.0000,1.0000
2019-02-08,125.3300,126.3400,123.8900,125.2100,124.4538,2181417,0.0000,1.0000
2019-02-07,130.1500,130.5000,125.1100,126.8800,126.1137,2345603,0.0000,1.0000
2019-02-06,127.0000,131.5000,126.5600,131.4500,130.6561,2418718,0.0000,1.0000
2019-02-05,124.8200,128.4600,124.6116,127.2300,126.4616,1946776,0.0000,1.0000
2019-02-04,125.9300,126.7300,123.7700,124.3900,123.6387,1210886,0.0000,1.0000
2019-02-01,122.9200,127.5100,122.8550,126.0700,125.3086,2990939,0.0000,1.0000
2019-01-31,124.0400,127.1800,121.0100,123.0100,122.2671,3719766,0.0000,1.0000
2019-01-30,118.0200,121.4664,117.3500,120.4800,119.7523,3583902,0.0000,1.0000
2019-01-29,117.5000,118.2200,116.0800,116.6800,115.9753,1689796,0.0000,1.0000
2019-01-28,116.9600,118.9800,115.0000,118.1700,117.4563,2271395,0.0000,1.0000
2019-01-25,115.7400,118.9900,115.2900,118.5300,117.8141,2044307,0.0000,1.0000
2019-01-24,112.6400,116.1397,112.0652,114.4100,113.7190,1792048,0.0000,1.0000
