timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,30.9400,31.2700,30.5600,31.1400,31.1400,3036148,0.0000,1.0000
2019-03-22,32.7000,32.7000,31.0400,31.0700,31.0700,3359202,0.0000,1.0000
2019-03-21,32.0000,33.0800,31.9900,32.9100,32.9100,2681090,0.0000,1.0000
2019-03-20,31.8400,32.2650,31.5600,32.0100,32.0100,2404548,0.0000,1.0000
2019-03-19,32.0900,32.3400,31.8050,31.8800,31.8800,3785670,0.0000,1.0000
2019-03-18,31.6200,32.1400,31.5400,32.0100,32.0100,3122701,0.0000,1.0000
2019-03-15,31.0900,31.7300,31.0400,31.6100,31.6100,4505661,0.0000,1.0000
2019-03-14,31.5100,31.5500,30.5300,31.0800,31.0800,3403975,0.0000,1.0000
2019-03-13,31.2200,31.6700,31.2200,31.5500,31.5500,2518324,0.0000,1.0000
2019-03-12,31.1900,31.2900,30.9100,31.1300,31.1300,2572331,0.0000,1.0000
2019-03-11,30.4500,31.1600,30.4050,31.1500,31.1500,2291544,0.0000,1.0000
2019-03-08,29.8600,30.3800,29.7500,30.3000,30.3000,2150899,0.0000,1.0000
2019-03-07,30.8200,30.8200,30.2000,30.2400,30.2400,3121552,0.0000,1.0000
2019-03-06,31.0400,31.2400,30.8200,30.8500,30.8500,2831150,0.0000,1.0000
2019-03-05,31.3800,31.4900,31.0000,31.0900,31.0900,2370819,0.0000,1.0000
2019-03-04,31.3800,31.4900,30.8150,31.3600,31.3600,2563851,0.0000,1.0000
2019-03-01,31.1100,31.5200,31.1100,31.2900,31.2900,2737591,0.0000,1.0000
2019-02-28,31.2100,31.3200,30.7300,30.9000,30.9000,4289991,0.0000,1.0000
2019-02-27,31.3800,31.5300,31.1800,31.4200,31.4200,2971155,0.0000,1.0000
2019-02-26,31.4100,31.7600,31.3200,31.4700,31.4700,3015186,0.0000,1.0000
2019-02-25,31.7000,31.9600,31.4200,31.4800,31.4800,2440905,0.0000,1.0000
2019-02-22,31.0300,31.7500,30.9800,31.4900,31.4900,3027393,0.0000,1.0000
2019-02-21,30.9000,31.3900,30.8800,31.3300,31.3300,3252106,0.0000,1.0000
2019-02-20,30.7400,31.0100,30.6200,30.8700,30.8700,3112862,0.0000,1.0000
2019-02-19,30.4700,30.9400,30.4301,30.6500,30.6500,3452856,0.0000,1.0000
2019-02-15,30.1000,30.5000,29.9900,30.4600,30.4600,3537115,0.0000,1.0000
2019-02-14,29.7200,30.1100,29.6700,29.8300,29.8300,3085375,0.0000,1.0000
2019-02-13,30.2200,30.3500,29.9400,30.0000,30.0000,3068694,0.0000,1.0000
2019-02-12,29.4500,30.3000,29.4500,30.0900,30.0900,3945931,0.0000,1.0000
2019-02-11,29.2800,29.5500,29.1800,29.2900,29.2900,2591790,0.0000,1.0000
2019-02-08,28.7300,29.2400,28.7000,29.0900,29.0900,2569996,0.0000,1.0000
2019-02-07,29.2000,29.4900,28.7500,28.9800,28.9800,3059446,0.0000,1.0000
2019-02-06,29.0600,29.5200,28.8200,29.4300,29.4300,3613948,0.0000,1.0000
2019-02-05,28.7400,29.0000,28.3100,28.9800,28.9800,5402735,0.0000,1.0000
2019-02-04,28.5500,28.6950,28.2900,28.6800,28.6800,2915232,0.0000,1.0000
2019-02-01,28.3400,28.6700,28.2200,28.5200,28.5200,4347957,0.0000,1.0000
2019-01-31,28.0600,28.6050,27.9100,28.2100,28.2100,5970147,0.0000,1.0000
2019-01-30,27.6000,28.3100,27.0700,28.1600,28.1600,6827121,0.0000,1.0000
2019-01-29,25.6600,27.2850,25.5900,27.0700,27.0700,10519935,0.0000,1.0000
2019-01-28,24.2100,24.4700,24.0200,24.3000,24.3000,3423426,0.0000,1.0000
2019-01-25,24.2200,24.5700,24.1700,24.5400,24.5400,3449730,0.0000,1.0000
2019-01-24,23.5900,24.3900,23.5200,23.9200,23.9200,2768531,0.0000,1.0000
2019-01-23,23.4100,23.5800,23.2300,23.5700,23.5700,4027443,0.0000,1.0000
2019-01-22,23.3800,23.5600,23.1700,23.3800,23.3800,4434132,0.0000,1.0000
2019-01-18,23.2700,23.8200,23.2000,23.4300,23.4300,4487073,0.0000,1.0000
2019-01-17,23.1000,23.2450,22.7300,23.1200,23.1200,2992954,0.0000,1.0000
2019-01-16,22.7200,23.1300,22.5300,23.1100,23.1100,3347888,0.0000,1.0000
