,accuracy,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,prediction,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2015-01-02 21:00:00+00:00,0.4,,0.0,,-0.0005351756349127879,,,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-02 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '064d9bc38feb44b4b7e61ef1ebfc19ff', 'limit': None, 'dt': Timestamp('2015-01-02 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-02 21:00:00+00:00,2015-01,2015-01-02 14:31:00+00:00,0.0,10000000.0,[],[0.],0.0,,0.0,0.0,0,,10000000.0,0.0,0.0,1,[],0.0
2015-01-05 21:00:00+00:00,0.6,0.001143375664250484,-0.00010186000000000917,0.0007838894313539859,-0.018585190230611892,0.19671207021192202,0.005812432673901004,-2018218.6,7981781.4,2017200.0,2017200.0,0.0,0.2017405492923509,2017200.0,2017200.0,1,-0.00010186000000004469,0.2017405492923509,0.2017405492923509,"[{'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-02 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '064d9bc38feb44b4b7e61ef1ebfc19ff', 'limit': None, 'dt': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '695ff1a7200347119c496249db37403b', 'limit': None, 'dt': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '5998897cca9a45d6a8a211d94fdaf672', 'limit': None, 'dt': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-05 21:00:00+00:00,2015-01,2015-01-05 14:31:00+00:00,-1018.5999999996275,9998981.4,"[{'amount': 10000, 'last_sale_price': 201.72, 'sid': Equity(402 [SPY]), 'cost_basis': 201.82186000000002}]",[0.],-0.00010186000000000917,-11.224972160321826,0.0,0.0,0,-11.224972160321824,10000000.0,0.0,0.0,2,"[{'amount': 10000, 'price': 201.82086, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '064d9bc38feb44b4b7e61ef1ebfc19ff', 'dt': Timestamp('2015-01-05 21:00:00+0000', tz='UTC')}]",0.0
2015-01-06 21:00:00+00:00,0.4,0.01881605731657341,-0.00220367999999993,-0.16890306749701012,-0.027829133015471297,0.13910090122141808,0.006894564515210941,3994381.8,11976163.200000001,-1998200.0,-1998200.0,0.0,0.2002613118476925,0.0,0.0,0,-0.0022036799999999345,0.2017405492923509,-0.2002613118476925,"[{'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '695ff1a7200347119c496249db37403b', 'limit': None, 'dt': Timestamp('2015-01-06 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-05 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '5998897cca9a45d6a8a211d94fdaf672', 'limit': None, 'dt': Timestamp('2015-01-06 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}]",2015-01-06 21:00:00+00:00,2015-01,2015-01-06 14:31:00+00:00,-21018.199999999255,9977963.200000001,"[{'amount': -10000, 'last_sale_price': 199.82, 'sid': Equity(402 [SPY]), 'cost_basis': 199.71809}]",[-1.],-0.0021020341131946507,-9.838783034811934,-1998200.0,-1998200.0,1,-9.598012456274443,7981781.4,2017200.0,2017200.0,3,"[{'amount': -10000, 'price': 199.72009, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '695ff1a7200347119c496249db37403b', 'dt': Timestamp('2015-01-06 21:00:00+0000', tz='UTC')}, {'amount': -10000, 'price': 199.72009, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '5998897cca9a45d6a8a211d94fdaf672', 'dt': Timestamp('2015-01-06 21:00:00+0000', tz='UTC')}]",0.0
2015-01-07 21:00:00+00:00,0.5,0.0207694645408517,-0.004693679999999922,-0.3493410010160271,-0.015714702734260677,0.2069715012540573,-0.05437675079963988,0.0,11976163.200000001,-2023100.0,-2023100.0,0.0,0.20326405643641446,0.0,0.0,0,-0.004693679999999887,0.20326405643641446,-0.20326405643641446,"[{'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-07 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'fa2653ebec2846adbd42f3ff635df983', 'limit': None, 'dt': Timestamp('2015-01-07 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-07 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '863242d1c09f47c7adf457243926cd7c', 'limit': None, 'dt': Timestamp('2015-01-07 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-07 21:00:00+00:00,2015-01,2015-01-07 14:31:00+00:00,-24900.0,9953063.200000001,"[{'amount': -10000, 'last_sale_price': 202.31, 'sid': Equity(402 [SPY]), 'cost_basis': 199.71809}]",[0.],-0.0024954992818574384,-14.254666185830397,-2023100.0,-2023100.0,1,-11.426310310812408,11976163.200000001,-1998200.0,-1998200.0,4,[],0.0
2015-01-08 21:00:00+00:00,0.5,0.025981759710133112,-0.008491579999999832,-0.4199907111674639,0.0017514838960790424,0.236039987313227,-0.0830386346871607,-4120079.0,7856084.200000001,2059000.0,2059000.0,0.0,0.20766339029173345,2059000.0,2059000.0,1,-0.008491579999999886,0.20766339029173345,0.20766339029173345,"[{'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-07 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'fa2653ebec2846adbd42f3ff635df983', 'limit': None, 'dt': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-07 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '863242d1c09f47c7adf457243926cd7c', 'limit': None, 'dt': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'e7ae72bb51b940dea58da3c51499e344', 'limit': None, 'dt': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '862a0d394ceb4f2dbb65121ca6d3db04', 'limit': None, 'dt': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-08 21:00:00+00:00,2015-01,2015-01-08 14:31:00+00:00,-37979.0,9915084.200000001,"[{'amount': 10000, 'last_sale_price': 205.9, 'sid': Equity(402 [SPY]), 'cost_basis': 206.00495}]",[0.],-0.00381581019198185,-16.517982830051825,0.0,0.0,0,-12.038293090560863,11976163.200000001,-2023100.0,-2023100.0,5,"[{'amount': 10000, 'price': 206.00295, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': 'fa2653ebec2846adbd42f3ff635df983', 'dt': Timestamp('2015-01-08 21:00:00+0000', tz='UTC')}, {'amount': 10000, 'price': 206.00295, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '863242d1c09f47c7adf457243926cd7c', 'dt': Timestamp('2015-01-08 21:00:00+0000', tz='UTC')}]",0.0
2015-01-09 21:00:00+00:00,0.4,0.023264620098622936,-0.010347829999999836,-0.454981890657123,-0.006276150627614663,0.2181107112084492,-0.076539506049962,4082937.5,11939021.700000001,-2042500.0,-2042500.0,0.0,0.2063856435539367,0.0,0.0,0,-0.010347829999999902,0.20766339029173345,-0.2063856435539367,"[{'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'e7ae72bb51b940dea58da3c51499e344', 'limit': None, 'dt': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-08 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '862a0d394ceb4f2dbb65121ca6d3db04', 'limit': None, 'dt': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '6868aab4587d4235a34b192a349e6f96', 'limit': None, 'dt': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '3a0c73af6f7c4cf7b4036dbdd98ccde0', 'limit': None, 'dt': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-09 21:00:00+00:00,2015-01,2015-01-09 14:31:00+00:00,-18562.5,9896521.700000001,"[{'amount': -10000, 'last_sale_price': 204.25, 'sid': Equity(402 [SPY]), 'cost_basis': 204.145875}]",[0.],-0.0018721474901847168,-18.752455161260393,-2042500.0,-2042500.0,1,-12.560986702413379,7856084.200000001,2059000.0,2059000.0,6,"[{'amount': -10000, 'price': 204.147875, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': 'e7ae72bb51b940dea58da3c51499e344', 'dt': Timestamp('2015-01-09 21:00:00+0000', tz='UTC')}, {'amount': -10000, 'price': 204.147875, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '862a0d394ceb4f2dbb65121ca6d3db04', 'dt': Timestamp('2015-01-09 21:00:00+0000', tz='UTC')}]",0.0
2015-01-12 21:00:00+00:00,0.5,0.028394444673981143,-0.008952479999999818,-0.3684968500245583,-0.014060523499075162,0.20332083941303436,-0.09217410442207384,-4055046.5,7883975.200000001,2026500.0,2026500.0,0.0,0.20448060855850786,2026500.0,2026500.0,1,-0.010347829999999902,0.20766339029173345,0.20448060855850786,"[{'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '6868aab4587d4235a34b192a349e6f96', 'limit': None, 'dt': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-09 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '3a0c73af6f7c4cf7b4036dbdd98ccde0', 'limit': None, 'dt': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '6b4bab19cd9a45efb486ed2eb1e1eace', 'limit': None, 'dt': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '28c6936fc38448c4bf08d7b3ec9439f6', 'limit': None, 'dt': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-12 21:00:00+00:00,2015-01,2015-01-12 14:31:00+00:00,13953.5,9910475.200000001,"[{'amount': 10000, 'last_sale_price': 202.65, 'sid': Equity(402 [SPY]), 'cost_basis': 202.75332500000002}]",[0.],0.0014099398175422273,-11.382043532075116,0.0,0.0,0,-10.050708365219563,11939021.700000001,-2042500.0,-2042500.0,7,"[{'amount': 10000, 'price': 202.751325, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '6868aab4587d4235a34b192a349e6f96', 'dt': Timestamp('2015-01-12 21:00:00+0000', tz='UTC')}, {'amount': 10000, 'price': 202.751325, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '3a0c73af6f7c4cf7b4036dbdd98ccde0', 'dt': Timestamp('2015-01-12 21:00:00+0000', tz='UTC')}]",0.0
2015-01-13 21:00:00+00:00,0.5,0.026438349667142556,-0.009726559999999829,-0.3553728776198725,-0.01683370633453296,0.18830068843933379,-0.09249725791268133,4039559.2,11923534.4,-2020800.0000000002,-2020800.0000000002,0.0,0.20406484899766675,0.0,0.0,0,-0.010347829999999902,0.20766339029173345,-0.20406484899766675,"[{'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '6b4bab19cd9a45efb486ed2eb1e1eace', 'limit': None, 'dt': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-12 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '28c6936fc38448c4bf08d7b3ec9439f6', 'limit': None, 'dt': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'f7f815fbf3ce4756b8b44ff94463c3d6', 'limit': None, 'dt': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '9afb16ee047546c1ad78220138169115', 'limit': None, 'dt': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-13 21:00:00+00:00,2015-01,2015-01-13 14:31:00+00:00,-7740.800000000745,9902734.4,"[{'amount': -10000, 'last_sale_price': 202.08, 'sid': Equity(402 [SPY]), 'cost_basis': 201.97696}]",[0.],-0.000781072536259475,-11.62675596026354,-2020800.0000000002,-2020800.0000000002,1,-10.112716654883059,7883975.200000001,2026500.0,2026500.0,8,"[{'amount': -10000, 'price': 201.97896, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '6b4bab19cd9a45efb486ed2eb1e1eace', 'dt': Timestamp('2015-01-13 21:00:00+0000', tz='UTC')}, {'amount': -10000, 'price': 201.97896, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '28c6936fc38448c4bf08d7b3ec9439f6', 'dt': Timestamp('2015-01-13 21:00:00+0000', tz='UTC')}]",0.0
2015-01-14 21:00:00+00:00,0.4,0.02744044204227739,-0.008709419999999857,-0.30695480196247027,-0.022769290649021556,0.17739296788596876,-0.0991491051145953,-4019228.6,7904305.8,2008600.0000000002,2008600.0000000002,0.0,0.20262474399786995,2008600.0000000002,2008600.0000000002,1,-0.010347829999999902,0.20766339029173345,0.20262474399786995,"[{'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'f7f815fbf3ce4756b8b44ff94463c3d6', 'limit': None, 'dt': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': 10000, 'created': Timestamp('2015-01-13 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '9afb16ee047546c1ad78220138169115', 'limit': None, 'dt': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'dd4163fddc6a40a6af263e46518436b1', 'limit': None, 'dt': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'daea71b0423942e89e5301713be284ee', 'limit': None, 'dt': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-14 21:00:00+00:00,2015-01,2015-01-14 14:31:00+00:00,10171.400000000373,9912905.8,"[{'amount': 10000, 'last_sale_price': 200.86, 'sid': Equity(402 [SPY]), 'cost_basis': 200.96243}]",[0.],0.0010271304459099628,-8.909400709509724,0.0,0.0,0,-8.530820356371283,11923534.4,-2020800.0000000002,-2020800.0000000002,9,"[{'amount': 10000, 'price': 200.96043, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': 'f7f815fbf3ce4756b8b44ff94463c3d6', 'dt': Timestamp('2015-01-14 21:00:00+0000', tz='UTC')}, {'amount': 10000, 'price': 200.96043, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': '9afb16ee047546c1ad78220138169115', 'dt': Timestamp('2015-01-14 21:00:00+0000', tz='UTC')}]",0.0
2015-01-15 21:00:00+00:00,0.5,0.02644320931052882,-0.010751438999999974,-0.3430044160354341,-0.03172618468424593,0.1705615851816074,-0.08904167167726922,3978369.81,11882675.61,-1990190.0,-1990190.0,0.0,0.2011819959574346,0.0,0.0,0,-0.010751439000000005,0.20766339029173345,-0.2011819959574346,"[{'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'dd4163fddc6a40a6af263e46518436b1', 'limit': None, 'dt': Timestamp('2015-01-15 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 1, 'filled': -10000, 'created': Timestamp('2015-01-14 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'daea71b0423942e89e5301713be284ee', 'limit': None, 'dt': Timestamp('2015-01-15 21:00:00+0000', tz='UTC'), 'amount': -10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 10.0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-15 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': '744b8f51b5b246c18ce755dae8438424', 'limit': None, 'dt': Timestamp('2015-01-15 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}, {'reason': None, 'stop': None, 'status': 0, 'filled': 0, 'created': Timestamp('2015-01-15 21:00:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'e9dc3f251d6241e6a2de7e744ef33949', 'limit': None, 'dt': Timestamp('2015-01-15 21:00:00+0000', tz='UTC'), 'amount': 10000, 'stop_reached': False, 'sid': Equity(402 [SPY]), 'commission': 0}]",2015-01-15 21:00:00+00:00,2015-01,2015-01-15 14:31:00+00:00,-20420.19000000134,9892485.61,"[{'amount': -10000, 'last_sale_price': 199.019, 'sid': Equity(402 [SPY]), 'cost_basis': 198.91749049999999}]",[0.],-0.002059960057322563,-10.283967224693278,-1990190.0,-1990190.0,1,-9.348989476892926,7904305.8,2008600.0000000002,2008600.0000000002,10,"[{'amount': -10000, 'price': 198.9194905, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': 'dd4163fddc6a40a6af263e46518436b1', 'dt': Timestamp('2015-01-15 21:00:00+0000', tz='UTC')}, {'amount': -10000, 'price': 198.9194905, 'sid': Equity(402 [SPY]), 'commission': None, 'order_id': 'daea71b0423942e89e5301713be284ee', 'dt': Timestamp('2015-01-15 21:00:00+0000', tz='UTC')}]",0.0
